date,crime_type,state,Primary Category,Secondary Category
02-2010,VIOLATION OF COURT ORDER,California,,OTHER
09-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
08-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
01-2010,VIOLATION OF COURT ORDER,California,,OTHER
01-2010,"RAPE, ATTEMPTED",California,Sexual Offenses,RAPE
01-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California,,OTHER
01-2010,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY
01-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
01-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
01-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California,,OTHER
01-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
01-2010,ROBBERY,California,Violent Crimes,ROBBERY
01-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
01-2010,BOMB SCARE,California,,OTHER
01-2010,ROBBERY,California,Violent Crimes,ROBBERY
01-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
01-2010,CHILD NEGLECT (SEE 300 W.I.C.),California,,OTHER
01-2010,ROBBERY,California,Violent Crimes,ROBBERY
01-2010,INTIMATE PARTNER - AGGRAVATED ASSAULT,California,Violent Crimes,ASSAULT
01-2010,ROBBERY,California,Violent Crimes,ROBBERY
01-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
01-2010,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY
01-2010,THEFT PLAIN - PETTY ($950 & UNDER),California,,OTHER
01-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
01-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
01-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
01-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
01-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California,,OTHER
02-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
02-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California,,OTHER
02-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
02-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
02-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
02-2010,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY
02-2010,THEFT PLAIN - PETTY ($950 & UNDER),California,,OTHER
02-2010,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY
02-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California,,OTHER
02-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California,,OTHER
02-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
02-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
02-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
02-2010,ROBBERY,California,Violent Crimes,ROBBERY
02-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
02-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
02-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
02-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
02-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
02-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
02-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
02-2010,BURGLARY,California,Property Crimes,BURGLARY
02-2010,INTIMATE PARTNER - AGGRAVATED ASSAULT,California,Violent Crimes,ASSAULT
02-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
02-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
02-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
08-2010,ROBBERY,California,Violent Crimes,ROBBERY
02-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,ARSON,California,Miscellaneous Crimes,ARSON
03-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
03-2010,"RAPE, FORCIBLE",California,Sexual Offenses,RAPE
03-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
03-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
03-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
03-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California,,OTHER
03-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY
03-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California,,OTHER
03-2010,BRANDISH WEAPON,California,,OTHER
03-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
03-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
