date,crime_type,state,Primary Category,Secondary Category,Months Difference,Crime Severity
2010-01-01,"RAPE, ATTEMPTED",California,Sexual Offenses,RAPE,179,9.5
2010-01-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,179,6.5
2010-01-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,179,8.0
2010-01-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,179,8.0
2010-01-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179,8.0
2010-01-01,ROBBERY,California,Violent Crimes,ROBBERY,179,7.5
2010-01-01,ROBBERY,California,Violent Crimes,ROBBERY,179,7.5
2010-01-01,ROBBERY,California,Violent Crimes,ROBBERY,179,7.5
2010-01-01,INTIMATE PARTNER - AGGRAVATED ASSAULT,California,Violent Crimes,ASSAULT,179,8.0
2010-01-01,ROBBERY,California,Violent Crimes,ROBBERY,179,7.5
2010-01-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179,8.0
2010-01-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,179,6.5
2010-01-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179,8.0
2010-01-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,179,8.0
2010-01-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179,8.0
2010-01-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,179,8.0
2010-02-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178,8.0
2010-02-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178,8.0
2010-02-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178,8.0
2010-02-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,178,6.5
2010-02-01,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY,178,7.5
2010-02-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178,8.0
2010-02-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,178,8.0
2010-02-01,ROBBERY,California,Violent Crimes,ROBBERY,178,7.5
2010-02-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178,8.0
2010-02-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178,8.0
2010-02-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178,8.0
2010-02-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178,8.0
2010-02-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178,8.0
2010-02-01,BURGLARY,California,Property Crimes,BURGLARY,178,6.5
2010-02-01,INTIMATE PARTNER - AGGRAVATED ASSAULT,California,Violent Crimes,ASSAULT,178,8.0
2010-02-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178,8.0
2010-02-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178,8.0
2010-08-01,ROBBERY,California,Violent Crimes,ROBBERY,172,7.5
2010-02-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,178,8.0
2010-03-01,ARSON,California,Miscellaneous Crimes,ARSON,177,6.0
2010-03-01,"RAPE, FORCIBLE",California,Sexual Offenses,RAPE,177,9.5
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177,8.0
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177,8.0
2010-03-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,177,8.0
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177,8.0
2010-03-01,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY,177,7.5
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177,8.0
2010-03-01,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177,8.0
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177,8.0
2010-03-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,177,8.0
2010-03-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,177,8.0
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177,8.0
2010-03-01,ROBBERY,California,Violent Crimes,ROBBERY,177,7.5
2010-03-01,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY,177,6.5
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177,8.0
2010-03-01,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177,8.0
2010-03-01,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT,177,8.0
2010-03-01,BURGLARY,California,Property Crimes,BURGLARY,177,6.5
2010-03-01,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT,177,8.0
