date,crime_type,state
02-2010,VIOLATION OF COURT ORDER,California
09-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
08-2010,OTHER MISCELLANEOUS CRIME,California
01-2010,VIOLATION OF COURT ORDER,California
01-2010,"RAPE, ATTEMPTED",California
01-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California
01-2010,BURGLARY FROM VEHICLE,California
01-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
01-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
01-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
01-2010,BATTERY - SIMPLE ASSAULT,California
01-2010,ROBBERY,California
01-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
01-2010,BOMB SCARE,California
01-2010,ROBBERY,California
01-2010,OTHER MISCELLANEOUS CRIME,California
01-2010,CHILD NEGLECT (SEE 300 W.I.C.),California
01-2010,ROBBERY,California
01-2010,INTIMATE PARTNER - AGGRAVATED ASSAULT,California
01-2010,ROBBERY,California
01-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
01-2010,BURGLARY FROM VEHICLE,California
01-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
01-2010,BATTERY - SIMPLE ASSAULT,California
01-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
01-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
01-2010,BATTERY - SIMPLE ASSAULT,California
01-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
02-2010,OTHER MISCELLANEOUS CRIME,California
02-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California
02-2010,BATTERY - SIMPLE ASSAULT,California
02-2010,BATTERY - SIMPLE ASSAULT,California
02-2010,BATTERY - SIMPLE ASSAULT,California
02-2010,BURGLARY FROM VEHICLE,California
02-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
02-2010,ATTEMPTED ROBBERY,California
02-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California
02-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
02-2010,BATTERY - SIMPLE ASSAULT,California
02-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
02-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
02-2010,ROBBERY,California
02-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
02-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
02-2010,BATTERY - SIMPLE ASSAULT,California
02-2010,BATTERY - SIMPLE ASSAULT,California
02-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
02-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
02-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
02-2010,BURGLARY,California
02-2010,INTIMATE PARTNER - AGGRAVATED ASSAULT,California
02-2010,OTHER MISCELLANEOUS CRIME,California
02-2010,BATTERY - SIMPLE ASSAULT,California
02-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
03-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
08-2010,ROBBERY,California
02-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
03-2010,ARSON,California
03-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
03-2010,"RAPE, FORCIBLE",California
03-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
03-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
03-2010,BATTERY - SIMPLE ASSAULT,California
03-2010,BATTERY - SIMPLE ASSAULT,California
03-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
03-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
03-2010,BATTERY - SIMPLE ASSAULT,California
03-2010,ATTEMPTED ROBBERY,California
03-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California
03-2010,BRANDISH WEAPON,California
03-2010,BATTERY - SIMPLE ASSAULT,California
03-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
03-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
03-2010,BATTERY - SIMPLE ASSAULT,California
03-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
03-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
03-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
03-2010,BATTERY - SIMPLE ASSAULT,California
03-2010,ROBBERY,California
03-2010,THROWING OBJECT AT MOVING VEHICLE,California
03-2010,BURGLARY FROM VEHICLE,California
03-2010,OTHER MISCELLANEOUS CRIME,California
03-2010,BATTERY - SIMPLE ASSAULT,California
03-2010,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),California
03-2010,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,California
03-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
03-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
03-2010,BURGLARY,California
03-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
03-2010,BATTERY - SIMPLE ASSAULT,California
03-2010,OTHER MISCELLANEOUS CRIME,California
03-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
03-2010,BATTERY - SIMPLE ASSAULT,California
03-2010,OTHER MISCELLANEOUS CRIME,California
03-2010,SHOTS FIRED AT INHABITED DWELLING,California
03-2010,OTHER MISCELLANEOUS CRIME,California
03-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
03-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
04-2010,VEHICLE - STOLEN,California
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
04-2010,ROBBERY,California
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
04-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
04-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California
04-2010,OTHER MISCELLANEOUS CRIME,California
04-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
04-2010,BURGLARY FROM VEHICLE,California
04-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
04-2010,KIDNAPPING - GRAND ATTEMPT,California
04-2010,CRIMINAL HOMICIDE,California
04-2010,THEFT PLAIN - ATTEMPT,California
04-2010,ATTEMPTED ROBBERY,California
04-2010,ATTEMPTED ROBBERY,California
04-2010,ROBBERY,California
04-2010,INTIMATE PARTNER - AGGRAVATED ASSAULT,California
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
04-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
04-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
04-2010,"THEFT, PERSON",California
04-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
10-2010,OTHER MISCELLANEOUS CRIME,California
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
05-2010,BATTERY - SIMPLE ASSAULT,California
05-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
05-2010,TRESPASSING,California
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
05-2010,BOMB SCARE,California
05-2010,BATTERY - SIMPLE ASSAULT,California
05-2010,BURGLARY,California
05-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
05-2010,BATTERY - SIMPLE ASSAULT,California
05-2010,ROBBERY,California
