cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_dt,cmplnt_to_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,parks_nm,hadevelopt,housing_psa,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex,transit_district,latitude,longitude,lat_lon,patrol_boro,station_name,vic_age_group,vic_race,vic_sex
279760384,2023-12-30T00:00:00.000,16:24:00,2023-12-30T00:00:00.000,16:30:00,50.0,2023-12-31T00:00:00.000,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1011291.0,260839.0,25-44,BLACK,F,,40.882577,-73.90221,"(40.882577, -73.90221)",PATROL BORO BRONX,(null),25-44,BLACK,F
279750942,2023-12-29T00:00:00.000,19:00:00,2023-12-30T00:00:00.000,10:00:00,109.0,2023-12-31T00:00:00.000,109,GRAND LARCENY,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,QUEENS,REAR OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1036517.0,214112.0,(null),(null),(null),,40.754211,-73.811345,"(40.754211, -73.811345)",PATROL BORO QUEENS NORTH,(null),65+,ASIAN / PACIFIC ISLANDER,M
279752718,2023-12-31T00:00:00.000,00:01:00,2023-12-31T00:00:00.000,02:00:00,70.0,2023-12-31T00:00:00.000,121,CRIMINAL MISCHIEF & RELATED OF,267.0,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),997729.0,165226.0,UNKNOWN,UNKNOWN,U,,40.620174,-73.951446,"(40.620174, -73.951446)",PATROL BORO BKLYN SOUTH,(null),25-44,WHITE,M
279760473,2023-12-31T00:00:00.000,17:50:00,2023-12-31T00:00:00.000,17:59:00,113.0,2023-12-31T00:00:00.000,250,CANNABIS RELATED OFFENSES,579.0,"CANNABIS POSSESSION, 2&1",COMPLETED,FELONY,QUEENS,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1045043.0,191113.0,(null),(null),(null),,40.69102897810564,-73.78078223251536,"(40.69102897810564, -73.78078223251536)",PATROL BORO QUEENS SOUTH,(null),UNKNOWN,UNKNOWN,E
279749499,2023-12-31T00:00:00.000,09:25:00,2023-12-31T00:00:00.000,09:30:00,109.0,2023-12-31T00:00:00.000,348,VEHICLE AND TRAFFIC LAWS,916.0,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,QUEENS,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1037025.0,222073.0,UNKNOWN,WHITE HISPANIC,F,,40.77605779787805,-73.80945195721921,"(40.77605779787805, -73.80945195721921)",PATROL BORO QUEENS NORTH,(null),25-44,ASIAN / PACIFIC ISLANDER,F
279760366,2023-12-31T00:00:00.000,21:21:00,,(null),47.0,2023-12-31T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,113.0,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1026678.0,266899.0,18-24,BLACK,M,,40.89915,-73.846524,"(40.89915, -73.846524)",PATROL BORO BRONX,(null),25-44,BLACK,M
279744251,2023-12-31T00:00:00.000,05:45:00,2023-12-31T00:00:00.000,06:03:00,123.0,2023-12-31T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),934123.0,130997.0,25-44,WHITE,M,,40.52609012438956,-74.1803103933247,"(40.526090124389555, -74.1803103933247)",PATROL BORO STATEN ISLAND,(null),25-44,WHITE,F
279755955,2023-12-31T00:00:00.000,14:50:00,2023-12-31T00:00:00.000,15:10:00,30.0,2023-12-31T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,(null),N.Y. POLICE DEPT,0,(null),(null),(null),996942.0,237602.0,25-44,WHITE HISPANIC,F,,40.818831,-73.954142,"(40.818831, -73.954142)",PATROL BORO MAN NORTH,(null),25-44,UNKNOWN,M
279748236,2023-12-31T00:00:00.000,11:50:00,2023-12-31T00:00:00.000,11:53:00,78.0,2023-12-31T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),987542.0,181552.0,65+,ASIAN / PACIFIC ISLANDER,F,,40.664996,-73.988132,"(40.664996, -73.988132)",PATROL BORO BKLYN SOUTH,(null),45-64,BLACK,M
279760436,2023-12-31T00:00:00.000,20:40:00,2023-12-31T00:00:00.000,20:45:00,94.0,2023-12-31T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),997973.0,199434.0,45-64,WHITE HISPANIC,M,,40.714067,-73.950498,"(40.714067, -73.950498)",PATROL BORO BKLYN NORTH,(null),UNKNOWN,UNKNOWN,M
