tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1857177129576018079,Thu Nov 14 21:41:47 +0000 2024,Woman sentenced for her role in a crime spree that included an attempted armed robbery of a casino gambler playing a slot machine  https://t.co/AgJLsq8z4O,Willy Allison,WillyJAllison,0,0,"Las Vegas, NV",armed_robbery
1857173441499013327,Thu Nov 14 21:27:07 +0000 2024,"@xceedwz @notblametruth @ATVIAssist Lmaoo ""due to POTENTIAL violations"" and ""unable to inform you on exiting of limited matchmaking state"" is insane to me. Thats like a cop bringing you to jail for ""POTENTIALLY"" committing armed robbery, and we can't give you any info on whats happening to you. Thats Insane to me.",Rogerpeetz,zamboomilker666,0,1,Canada,armed_robbery
1857166715102363771,Thu Nov 14 21:00:24 +0000 2024,"@cannlu1 @maddenifico Paperwork shuffling felonies are way different than armed robbery felonies. If they actually had him on anything, he would be in jail by now.",Michael Martin,spotchecker1975,0,0,"Chattanooga, TN",armed_robbery
1857166252814348559,Thu Nov 14 20:58:33 +0000 2024,MEDIA RELEASE: Please see the attached media release regarding an Armed Robbery Investigation. https://t.co/LJl9UH7Dkp,Lincolnwood Police Department,LincolnwoodPD,0,0,"Lincolnwood, IL",armed_robbery
1857163891643400433,Thu Nov 14 20:49:10 +0000 2024,"Louisiana law already allows 14, 15, 16 year-olds to be charged as adults for murder, rape, armed robbery and a list of other crimes. 

@heathercloud's constitutional amendment would allow lawmakers to expand the list, but she refuses to say what crimes she would add. #lalege",Julie O'Donoghue,JSODonoghue,14,25,Baton Rouge,armed_robbery
1857161848061088211,Thu Nov 14 20:41:03 +0000 2024,"Boy among 4 arrested after armed robbery at Lakeland memorial service, deputies say https://t.co/KcERnGeWvW",News 6 WKMG,news6wkmg,0,0,"Orlando, FL",armed_robbery
1857160920461684972,Thu Nov 14 20:37:22 +0000 2024,"@bytor0509 @RushmoreLists There is literally an armed robbery before the start of the credits, bro.",PeteyHendrix,PeteyHendrix,0,0,Los Angeles,armed_robbery
1857159507014529187,Thu Nov 14 20:31:45 +0000 2024,"Ameen Hurst Sentenced for Role in Four Murders, Armed Robbery, and Jail Escape

https://t.co/qrxeLxOyaN",Philadelphia DAO,philadao,0,2,Philadelphia,armed_robbery
1857154030285344805,Thu Nov 14 20:09:59 +0000 2024,"State’s Attorney Robert Berlin announced that late yesterday afternoon a woman and her son, both previously found guilty of the murder and armed robbery of Naperville resident Michael Armendariz, were sentenced to the Illinois Department of Corrections. https://t.co/4V2xSd0fGu https://t.co/FzS8AWIiwy",DuPage County State's Attorney,DupageStAtty,1,1,"DuPage County, IL",armed_robbery
1857151597114962014,Thu Nov 14 20:00:19 +0000 2024,"An Altoona man faces multiple felony charges after an alleged armed robbery at a Huntingdon County convenience store led to his arrest.
https://t.co/kudiM6sf9R",WTAJ News,WTAJnews,0,0,"Altoona, PA",armed_robbery
1857148349549289483,Thu Nov 14 19:47:25 +0000 2024,The longer conversation. It was usually Republican politicians on local levels in urban cities (Philly and I think Boston were the two main and first ones) who fudged drops in crime by pressuring police to reclassify crimes down. Armed robbery becomes assault and so on.,Chris K.,KanysLupin,0,0,"Maricopa County, AZ",armed_robbery
1857146084877013110,Thu Nov 14 19:38:25 +0000 2024,"@JinxVSchmettau @TRobertJackson2 @catchypiccolino @iNeoyorquina @vintagefantasy_ @Tragicgirlsco for one of those are bad comparisons how is using slavery or armed robbery any better? 
and two, why exactly is capital punishment and soldiers killing other soldiers/civilians justified in your mind?",mitreow,mitreow,0,1,dollywood,armed_robbery
1857126086535974925,Thu Nov 14 18:18:57 +0000 2024,"Daiquaon J. Johnson, 27, is facing charges of aggravated vehicular hijacking, armed robbery, armed habitual criminal and unlawful possession of a weapon by a felon.
https://t.co/Ac93JfMKlb",WICS ABC 20,wics_abc20,0,1,"Springfield, IL",armed_robbery
1857113741571092703,Thu Nov 14 17:29:54 +0000 2024,The sad bit comes in from the chances being high that this is a very evident member of the Kenyan armed forces &amp; he’s been forced to perform armed robbery to get sustenance 🫤,Man Like Dex,_the_user,0,0,"Oshawa, Ontario",armed_robbery
1857112759944495385,Thu Nov 14 17:26:00 +0000 2024,Blackfalds RCMP investigating armed robbery at 7/11 https://t.co/nYV4thKiEQ,rdnewsNOW,rdnewsNOW,0,0,"Red Deer, Alberta",armed_robbery
1857108665712418842,Thu Nov 14 17:09:43 +0000 2024,"Guys like this fag want to ruin a 13 year old girls life over a word

but if a black kid got arrested and the book thrown at him for beating the shit out of someone, or armed robbery, then the “system is broken” and “they deserve a second chance”

You are a cancer to our society",vato loco,puro_chivas65,0,1,"Texas, USA",armed_robbery
1857106498331046329,Thu Nov 14 17:01:07 +0000 2024,@RealityHides @stalbs @mviser If someone commits armed robbery do you think they deserve to be able to go out and buy more guns once released?,Jared Henager,paralyzedprime,0,0,"Dallas, TX",armed_robbery
1857104745019605489,Thu Nov 14 16:54:09 +0000 2024,"@seasalt_bae Saying something racist during what was thought to be a private conversation: DESTROY HER!

Shooting someone during an armed robbery: He's just a kid. Don't destroy his life.",Martel,Martel2112,0,0,Detroit,armed_robbery
1857096068116222033,Thu Nov 14 16:19:40 +0000 2024,"#crimebeat - A man was held at gunpoint during an armed robbery yesterday in Cooper’s Town, Abaco. 

The suspect entered a business on Front Street, stole a large sum of cash, and fled; police are investigating. https://t.co/wZXZkVNK9N",The ZNS Network,ZNSDigital,1,1,"Nassau, Bahamas",armed_robbery
1857080787444630000,Thu Nov 14 15:18:57 +0000 2024,Three arrested at Rosslyn Metro station after armed robbery at CVS https://t.co/gmFs21RWDH,Arlington Now,ARLnowDOTcom,0,11,"Arlington, VA",armed_robbery
1857064711113642354,Thu Nov 14 14:15:04 +0000 2024,"Three suspects were detained by police following an armed robbery in Arlington County, Virginia. https://t.co/BSq83RWT2p",FOX 5 DC,fox5dc,1,0,DC/MD/VA,armed_robbery
1857057917502922915,Thu Nov 14 13:48:04 +0000 2024,"Armed Robbery At Tysons Business Reported, Surveillance Photos Shared https://t.co/sTD6XyTnRN",Dan Y,dany711,0,0,"Falls Church, VA",armed_robbery
1857053842828841168,Thu Nov 14 13:31:53 +0000 2024,"@WomanDefiner Dog cheap eggs sounds great!

Armed robbery and AIDs? Nah ill pass",Jim Eagle,Real_JimEagle,0,2,"Dallas, TX",armed_robbery
