tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1856854442538405941,Thu Nov 14 00:19:32 +0000 2024,@ImMeme0 Assault and Battery … it’s still against the law Little Missy.,MAGA PATRIOT TGM (TERI),udreams30,13,425,"Texas, USA",assault_and_battery
1856831721121223127,Wed Nov 13 22:49:15 +0000 2024,@KameronBennett The minute she bumped chests like that straight to hr getting her fired for assault and battery,Anthony,mangos9797,0,0,"Alaska, USA",assault_and_battery
1856818496317051062,Wed Nov 13 21:56:42 +0000 2024,"@hodgetwins He shouldn’t just be fired, he should be stripped of qualified immunity and charged with assault and battery.",Brad,lothade,0,2,"Idaho, USA",assault_and_battery
1856810630809891211,Wed Nov 13 21:25:26 +0000 2024,"BREAKING NEWS: 

FBI seizes #Polymarket CEO Shayne Coplan's  phone, electronics after betting platform predicted Trump BRUTAL WWE ELECTION ASSAULT AND BATTERY of opponent  Kamala Harris. https://t.co/eTRyGaz5X5",thecryptochristian,thecryptochris1,0,1,Earth,assault_and_battery
1856808674779365473,Wed Nov 13 21:17:40 +0000 2024,"NEW: Councilman De’Andre Barnes was arrested on suspicion of domestic assault and battery. He was released after a magistrate denied warrants.

Read more here: https://t.co/6mMiWcGaaf https://t.co/L7o5T41LpU",WHRO Public Media,WHRO,0,0,"Norfolk, Virginia",assault_and_battery
1856808046028042698,Wed Nov 13 21:15:10 +0000 2024,"A magistrate denied warrants against a Portsmouth City Councilman De’Andre Barnes, who was arrested for domestic assault and battery Tuesday, police say. MORE INFO: https://t.co/0mrYX44sGo  https://t.co/huoulerw8R",WTKR News 3,WTKR3,0,1,"Hampton Roads, Virginia",assault_and_battery
1856791797043007674,Wed Nov 13 20:10:36 +0000 2024,@RealCrazyFight_ That’s assault and battery,Ogrid,T1r10n,0,0,"Oklahoma, USA",assault_and_battery
1856787112433275197,Wed Nov 13 19:51:59 +0000 2024,@libsoftiktok @JohnsHopkins What she's doing is assault and battery.,Tim Ramsey,TimRam1,0,1,United States,assault_and_battery
1856784781792743568,Wed Nov 13 19:42:44 +0000 2024,"TEMPSON, DELBERT BROOK
Arrest Date: 11/03/2024
Birth: 8/27/1977
Offense:
/ Domestic Assault and Battery by Strangulation
/ False Declaration of Ownership in Pawn Shop
#OklahomaCounty #OklahomaCountyMugshots https://t.co/IngUKMM0v2",OKC JAILBIRDS,jailbirdsapp,0,0,"Oklahoma, USA",assault_and_battery
1856784022606942350,Wed Nov 13 19:39:43 +0000 2024,They should lose their jobs. They charge with assault and battery and go to jail and be charged with a hate crime and receive the same that they gave to the boy and his grandpa that is they should be beaten as they have beaten others https://t.co/Dg3xr58PGu,Darius (on truthsocial: Atla_Shrugged),Atl_sShrugged,0,0,Camelot,assault_and_battery
1856782875200205078,Wed Nov 13 19:35:09 +0000 2024,"PETERSON, TYREE
Arrest Date: 11/03/2024
Birth: 10/31/1985
Offense:
/ DOMESTIC ASSAULT AND BATTERY BY STRANGULATION
#OklahomaCounty #OklahomaCountyMugshots https://t.co/WHECjUJ1Vu",OKC JAILBIRDS,jailbirdsapp,0,0,"Oklahoma, USA",assault_and_battery
1856781412327723323,Wed Nov 13 19:29:20 +0000 2024,"LEE, CHERYL LASHAWN
Arrest Date: November 3, 2024
Birth: September 2, 1977
Offense(s):
/ DOMESTIC ASSAULT AND BATTERY WITH A DANGEROUS WEAPON
#OklahomaCounty #mugshots #OKCmugshots #CherylLee https://t.co/MXdd3BNz1p",OKC JAILBIRDS,jailbirdsapp,0,0,"Oklahoma, USA",assault_and_battery
1856780924689469719,Wed Nov 13 19:27:24 +0000 2024,"HICKS, PAUL WALLACE
Arrest Date: November 3, 2024
Birth: April 6, 1973
Offense(s):
/ DOMESTIC ASSAULT AND BATTERY
/ DUI: DRIVE UNDER THE INFLUENCE OF ALCOHOL
#OklahomaCounty #mugshots #OKCmugshots #PaulHicks https://t.co/I96Egjjhyx",OKC JAILBIRDS,jailbirdsapp,0,0,"Oklahoma, USA",assault_and_battery
1856780046586834978,Wed Nov 13 19:23:55 +0000 2024,"FOUR HORNS, KIYAH LENA
Arrest Date: November 3, 2024
Birth: February 13, 2005
Offense(s):
/ DOMESTIC ASSAULT AND BATTERY WITH A DANGEROUS WEAPON
#OklahomaCounty #mugshots #OKCmugshots #KiyahFourHorns https://t.co/FhYW18eBqO",OKC JAILBIRDS,jailbirdsapp,0,0,"Oklahoma, USA",assault_and_battery
1856779939346895204,Wed Nov 13 19:23:29 +0000 2024,"FOSTER, TIMOTHY JASON
Arrest Date: November 3, 2024
Birth: February 23, 1981
Offense(s):
/ CARRY OR POSSESS FIREARM BY CONVICTED FELON
/ USE OF FIREARM WHILE COMMITTING A FELONY
/ ELUDING POLICE OFFICER
/ ASSAULT AND BATTERY WITH DEADLY WEAPON
/ FAILURE TO SIGNAL ON TURNING https://t.co/1SHYeu8ux8",OKC JAILBIRDS,jailbirdsapp,0,0,"Oklahoma, USA",assault_and_battery
1856779352874029292,Wed Nov 13 19:21:09 +0000 2024,"BRAY, JIMMY WILLIAM
Arrest Date: November 3, 2024
Birth: September 20, 1973
Offense(s):
/ DOMESTIC ASSAULT AND BATTERY
#OklahomaCounty #mugshots #OKCmugshots #JimmyBray https://t.co/yy8o3vhKkk",OKC JAILBIRDS,jailbirdsapp,0,0,"Oklahoma, USA",assault_and_battery
1856776672596353497,Wed Nov 13 19:10:30 +0000 2024,@TiffanyFong_ Fired immediately is the first thing.  Charged with assault and battery is the second thing.,Eddie,metaspaceperson,0,0,United States,assault_and_battery
1856776375639699931,Wed Nov 13 19:09:19 +0000 2024,"@hodgetwins You're not supposed to touch a police officer like that at all. It's assault and battery! However, his old age should have been taken into account.",Bea Morrell,BeaMorrell68,0,1,"Atlanta, GA",assault_and_battery
1856774162339262743,Wed Nov 13 19:00:32 +0000 2024,"Portsmouth Councilman De’Andre Barnes was promptly released from custody after an initial arrest for domestic assault and battery. 
https://t.co/bxj5TOTSIi https://t.co/4XBqhyPi28",WAVY TV 10,WAVY_News,1,1,"Hampton Roads, Va.",assault_and_battery
1856767877417758951,Wed Nov 13 18:35:33 +0000 2024,@shellshockkk Wait till she finds out that her little psycho daughter is charged with felony assault and battery and will have to go to court and pay for the dental bill,Ultra Maga Carl Bertolli,Carl_Bertolli,0,0,Earth,assault_and_battery
1856759615637393590,Wed Nov 13 18:02:43 +0000 2024,He must have saw her she was almost about to ring doorbell he opened door so that's assault and battery with intent. The cops got this wrong,Gwendydd St.Clair,Gwen6930,0,0,Chicago Il,assault_and_battery
1856755963014910396,Wed Nov 13 17:48:13 +0000 2024,@TaraBull808 This cop needs to be fired and arrested for assault and battery on an elderly person.,America First Floridian (Lee),lets_maga,0,0,United States,assault_and_battery
1856754499542815012,Wed Nov 13 17:42:24 +0000 2024,@Bubblebathgirl Assault and battery for starters.,MarcusTullius,MarcusT86062424,0,0,"Denver, CO",assault_and_battery
1856741905092005975,Wed Nov 13 16:52:21 +0000 2024,"@ravenwizardd @thelamman11 @MarchiolNicco @NealBrown_WVU I’m sure you’re right. This is as bad as those college players nationwide charged with felony rape, armed robbery, animal cruelty, assault and battery of a pregnant woman, etc… But @MarchiolNicco dancing after a score? Send him to prison!!🙄You’re a clown",Southerneer,passthabutter,0,1,"Princeton, WV",assault_and_battery
1856722787030741198,Wed Nov 13 15:36:23 +0000 2024,"11/13/24                                                                         TriCounty Police Blotter update:   #chsnews 

 Michael Keel Sampson,

ASSAULT AND BATTERY https://t.co/E5dbL6ivuB",Tricounty Police Blotter,ChasCoMugshots,0,0,"Charleston, SC",assault_and_battery
1856718772607860797,Wed Nov 13 15:20:26 +0000 2024,"11/13/24                                                                         TriCounty Police Blotter update:   #chsnews 

ASHLEY MARIE AUSTIN,

ASSAULT AND BATTERY https://t.co/GyrSthVonI",Tricounty Police Blotter,ChasCoMugshots,0,0,"Charleston, SC",assault_and_battery
1856716029730201625,Wed Nov 13 15:09:32 +0000 2024,"@atensnut What the hell mark normally I am all for the police… but this is outrageous and egregious. Not only should they fire this officer, but he should be charged with assault and battery… Maybe attempted homicide",Jennifer Kirchhoff,Morrighansidhe3,0,0,"Naperville, IL",assault_and_battery
1856713986768581088,Wed Nov 13 15:01:25 +0000 2024,"11/13/24                                                                         TriCounty Police Blotter update:   #chsnews 

JONATHAN LEE CAMPBELL,

ASSAULT AND BATTERY https://t.co/rYZajWlHDS",Tricounty Police Blotter,ChasCoMugshots,0,0,"Charleston, SC",assault_and_battery
1856700660584243307,Wed Nov 13 14:08:27 +0000 2024,"@MohFitX @Canada_United22 You can not attack someone knocking on your door. It’s settled criminal law 
 
As this article demonstrates you can be convicted for murder in this case or assault and battery in Nick’s case. 

He was not threatened behind his foot. Thus not entitled to self defense. https://t.co/ANXpm2mD6i",DOC,doctormalibu,0,0,"Los Angeles, CA",assault_and_battery
1856685514541126017,Wed Nov 13 13:08:16 +0000 2024,"@DramaAlert I’m like 70% sure this assault and battery, but indint knownfull story or where this takes place. even if she was stalking a lot of states dont allow you to inatate the physical aggression. some states have a duty to retrewt aswell (bs but law is law) so context is needed",Joe Del,Biingll,0,0,"Connecticut, USA",assault_and_battery
1856682276169326767,Wed Nov 13 12:55:24 +0000 2024,"11/13/24                                                                         TriCounty Police Blotter update:   #chsnews 

 EVELYN FAYE HARRISON,

ASSAULT AND BATTERY https://t.co/q9TQuG1rwG",Tricounty Police Blotter,ChasCoMugshots,0,0,"Charleston, SC",assault_and_battery
1856668117973275074,Wed Nov 13 11:59:09 +0000 2024,https://t.co/xISF2xeqKL This is assault and battery? Or assault?,Amberielle 🫧,CartierClass,0,0,"San Diego, CA",assault_and_battery
1856591948401807624,Wed Nov 13 06:56:28 +0000 2024,"Be careful @elonmusk , Latisha James is going to charge you with assault and battery for making the unfunny gal 
cry.",The Voodoo Patriot,WilliamSch23860,0,0,"Tennessee, USA",assault_and_battery
1856575780328820941,Wed Nov 13 05:52:14 +0000 2024,@Bubblebathgirl Assault and battery,Kip,Yaksayi,0,0,"Arizona, USA",assault_and_battery
1856556593728680277,Wed Nov 13 04:35:59 +0000 2024,"According to @SFBART radio,
A fight between two males on a train.
Possibly related to drug use.
A suspect was identified and released.
242 PC Assault and Battery
https://t.co/BKjlW68Yl0",Bart Fare Evaders,Bartfare,3,8,California,assault_and_battery
1856556342640816181,Wed Nov 13 04:34:59 +0000 2024,"@SFBARTalert According to @SFBART radio,
A fight between two males on a train.
Possibly related to drug use.
A suspect was identified and released.
242 PC Assault and Battery",Bart Fare Evaders,Bartfare,0,0,California,assault_and_battery
1856553231129903185,Wed Nov 13 04:22:38 +0000 2024,@HeroUrsula @RobinHoodlum @KarlMaxxed You forgot the unwarranted assault and battery. Maced and shoved down the stairs for knocking on a door. Which was not illegal for her to do,Diane K.,Zolcanra,0,7,California,assault_and_battery
1856551858728259807,Wed Nov 13 04:17:10 +0000 2024,@weartv It’s $40 . Assault and battery is a life you can’t live down.,PennyFleamarket,pennyfleamarket,0,0,"Florida, USA",assault_and_battery
1856518401532768536,Wed Nov 13 02:04:14 +0000 2024,"BREAKING:  Pulaski County Administrator Jonathan Sweet is facing a Class 1 misdemeanor assault and battery charge, according to online court records. https://t.co/ZG6XLabwFM",WSLS 10,wsls,0,1,"Roanoke, Virginia",assault_and_battery
1856508685440131512,Wed Nov 13 01:25:37 +0000 2024,@Trueful7 @Fights_King_ Lies.  Nowhere in project 2025 does it say assault and battery is legal. Stop with your hyperbolic bullshit and overactive imagination.,greg shelnutt,shelnutt_greg,0,1,"Madison, MS",assault_and_battery
1856504695206133827,Wed Nov 13 01:09:46 +0000 2024,@Alphafox78 you asked for it assault and battery,xstealthx,sxstealthxj,0,0,earth,assault_and_battery
1856503001973752237,Wed Nov 13 01:03:02 +0000 2024,"@CrayonMurders Tbh is is assault and battery. 

Arrest him.",Truth,TruthHurtzz123,0,1,United States,assault_and_battery
1856488350968099204,Wed Nov 13 00:04:49 +0000 2024,@TammysBlueVoice That is clearly assault and battery. She should be arrested for simply threatening that. @FBI,Joe McKirdy 🇺🇸 🇺🇦,joe_mckirdy,0,2,USA,assault_and_battery
1856485391555277285,Tue Nov 12 23:53:03 +0000 2024,@LASHYBILLS That first clip is straight up assault and battery though. That doesn’t make the situation any better. There are other content creators out there who at least get PD involved.,Joshua,KNITEpanda,0,0,"Washington, USA",assault_and_battery
1856478563395932305,Tue Nov 12 23:25:55 +0000 2024,"@LASHYBILLS we need to stop ""normalizing"" video taping beating the shit out of people. This is Assault and Battery.",HYPE | Noizii_B | ItsJustFreshh,ItsJustFreshh,0,0,"Carmel, Indiana",assault_and_battery
1856476002601312760,Tue Nov 12 23:15:45 +0000 2024,@LadyJayPersists That would be actionable premeditated assault and battery.  She will be looking at prison time.,cegrayne,cegrayne,0,0,"Jax, FL",assault_and_battery
1856473802357539221,Tue Nov 12 23:07:00 +0000 2024,"Pastor John Paul Miller is due back in court in December on an assault and battery charge stemming from an altercation with a woman protesting outside Solid Rock Church in Myrtle Beach.
https://t.co/jmjLSFL1fz",KFDM News,kfdmnews,1,1,"Beaumont, Texas",assault_and_battery
1856464505489735714,Tue Nov 12 22:30:04 +0000 2024,"Pastor John Paul Miller is due back in court in December on an assault and battery charge stemming from an altercation with a woman protesting outside Solid Rock Church in Myrtle Beach.
https://t.co/PKTp7u8eT3",ABC 7 Amarillo,ABC7Amarillo,0,0,"Amarillo, Texas",assault_and_battery
1856452781965750780,Tue Nov 12 21:43:29 +0000 2024,"@Logically_JC I guess this is the new ""assault and battery party""
@FKD2024 is quite pathetic.",Stephen McClure,Steve_cvins,0,0,"La Crescenta, CA",assault_and_battery
1856451881867829430,Tue Nov 12 21:39:54 +0000 2024,@Bubblebathgirl Assault AND battery,Greg Cripe,gcripe,0,1,Indianapolis,assault_and_battery
1856450759505608902,Tue Nov 12 21:35:26 +0000 2024,"@AnimeBallSnot @cunnyPower1488 He’s more likely to go to jail in Florida for this kind of offense than Illinois you anon dweeb. Btw, if he committed a crime it was an assault and battery, not assault you internet lawyer.","Sean Patrick O'Neil, Esq.",SeanONeilEsq,0,0,USA,assault_and_battery
1856449172477452398,Tue Nov 12 21:29:08 +0000 2024,@ChoppaGoGo would literally be assault and battery,matthew🇦🇷🇩🇴🗽🍎,batistanem416,0,1,"Long Island, NY",assault_and_battery
1856434107741585840,Tue Nov 12 20:29:16 +0000 2024,Assault and battery,🅱️IG 🅾️GF,trell_outchea,0,0,"Baton Rouge, LA",assault_and_battery
1856421989780729984,Tue Nov 12 19:41:07 +0000 2024,@BGatesIsaPyscho And every woman he unlawfully violated in the ring under false pretenses should file assault and battery charges.,Sasha,sashastjohn143,0,1,"Las Vegas, NV",assault_and_battery
1856419767344665083,Tue Nov 12 19:32:17 +0000 2024,@lippyent Assault and battery,Derek Aikman,Johbar85,0,3,"everywhere, USA",assault_and_battery
