tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1855713287410778398,Sun Nov 10 20:44:59 +0000 2024,@krallivar @TreyOGG3 @JordanMaison Montefiore’s Young Stalin was a big inspiration and uses the Tiflis bank robbery as center.  There are better Stalin biographies though.,P_invararity,PInvararity,0,1,"Missouri, USA",bank_robbery
1855694776336810433,Sun Nov 10 19:31:26 +0000 2024,"@JasonStrummer Hmmm interesting.  What other crimes could I commit that would potentially lead to a better life for my kids?

- Bank robbery
- Home invasion
- Carjacking
- Pimpin' (tho it's not easy)
- Drug smuggling / dealing
- ""Jogging""",Sum Facet,SumFacet,0,33,Earth,bank_robbery
1855694421872001134,Sun Nov 10 19:30:01 +0000 2024,A Bank Robbery and A Maximum Security Prison Escape | FULL EPISODE | The FBI Files https://t.co/6rEqJjraAY,The MILF Hunter Part III ティミー・コーちゃん,TimClark_420,0,0,"Mebane, NC",bank_robbery
1855694371221385697,Sun Nov 10 19:29:49 +0000 2024,@DefiyantlyFree America doesn't even have that kind of cash to spend on deportation. And I definitely know trump will not spend any of his own money on deportation. Or his stolen bank robbery money.,KING CHARLES,KINGCHA79909802,0,0,,bank_robbery
1855679910028952003,Sun Nov 10 18:32:22 +0000 2024,"Iranian man sentenced to hand amputation on bank robbery charges.
It doesn't only happen to others, it can happen to you too...
Register your valuables with us for a chance of recovery after theft or natural disaster.
Follow us for more.
https://t.co/M8T8etACni",Myne Global,MyneGlobal,0,4,Los Angeles,bank_robbery
1855669847692308673,Sun Nov 10 17:52:23 +0000 2024,@elonmusk States that do not require Voter ID are like employees in a bank who are accomplices in a bank robbery by leaving the bank doors unlocked and vault open for bank robbers at night.,Henry Pelifian 🇺🇸,HPelifian,0,0,USA,bank_robbery
1855630508400529643,Sun Nov 10 15:16:03 +0000 2024,@JasonStrummer Would you bring your child to a bank robbery? The money is for a better life btw,Luke the Mansplainer,LukeThomason,0,0,Arkansas,bank_robbery
1855505254348955706,Sun Nov 10 06:58:20 +0000 2024,"Behind the scenes of a bank robbery!

SLIMEY SZN! STAY TUNED!

https://t.co/legjSyOeRM

#SOP #musicvideo #bank #robbery https://t.co/POQF4owGkU",(S)traight (O)uta (P)rojects,TheOfficialSOP,2,2,"Chelsea, MA",bank_robbery
1855452502310699290,Sun Nov 10 03:28:43 +0000 2024,@EMarie2222 Bank robbery?  Lol,Ready4you99,ready4you99,1,22,"Burlington, VT",bank_robbery
1855441071683027000,Sun Nov 10 02:43:18 +0000 2024,"@bradlander It’s nice of them to make it easier for us to find and deport them by gathering in one place and admitting they broke the law. 

This is like a bank robbery trade show.",C. E. Panoff III,buildingbulldog,1,30,"New York, NY",bank_robbery
1855437521263493390,Sun Nov 10 02:29:12 +0000 2024,"@Navak54068573 @MikeBenzCyber He was a successful federal prosecutor, who tried many high profile cases, and received awards for being the highest performance rating for a federal prosecutor. 

He prosecuted the full range of federal crimes including narcotics trafficking, bank robbery, car jacking,",Bradley Lee,Brad31828,0,0,"Tennessee, USA",bank_robbery
1855406021763568097,Sun Nov 10 00:24:02 +0000 2024,Colorado Springs police are investigating a bank robbery near the Chapel Hills Mall. https://t.co/meiehMOgAh,KKTV 11 News,KKTV11News,0,3,"Colorado Springs, CO",bank_robbery
1855388650412142627,Sat Nov 09 23:15:00 +0000 2024,ICYMI: Local authorities are investigating a recent bank robbery in Clark County. 🕵️‍♂️ More details here: https://t.co/XGPw9nn5HW #ClarkCounty #BankRobbery #StayInformed,ClarkCountyToday.com,NewsFromCCT,0,0,"Vancouver, WA",bank_robbery
