tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1856075320740200553,Mon Nov 11 20:43:35 +0000 2024,"@alan_tegel @magnets_ @WelchRobII You can always return to the liberal mecca you came from.  Car insurance is high because there is a high incidence of car theft and uninsured drivers.  You wanted illegal immigration, so you get to live with the results.",G Dub,docsavage14,0,0,"Kansas, USA",car_theft
1856051591205323200,Mon Nov 11 19:09:17 +0000 2024,https://t.co/cK9ct97Ymk it’s same like cancelling you  car purchase because peel police is so incompetent that they can not stop car theft!,Maddy,Life_of_py,0,1,Toronto,car_theft
1856043646526623964,Mon Nov 11 18:37:43 +0000 2024,@CdeKristov nothing just your usual car theft,jinx,daynanichole_,0,0,Jamaica,car_theft
1856042698488369348,Mon Nov 11 18:33:57 +0000 2024,"@MTGrepp That Democrat is for open borders. The citizens of Southern Arizona are sick and tired of his policies. They are tired of break-ins, car theft, and even murder.",Frank Denardo,FrankDenardo10,0,0,"Fairfield, CA",car_theft
1856041065339597312,Mon Nov 11 18:27:28 +0000 2024,"A man accused of shooting a woman during a car theft back in October has been arrested.
https://t.co/QM1pxI1Ptm",News 8 WROC,News_8,4,8,"Rochester, NY",car_theft
1856006275269570759,Mon Nov 11 16:09:13 +0000 2024,https://t.co/Lng69e2GKl Having uniformed Security Guards is a big deterrent against car theft.,SOS Security,SOSSecurit51690,0,0,Milwaukee Wisconsin,car_theft
1855995952902889584,Mon Nov 11 15:28:12 +0000 2024,"@rachbarnhart They are down because the police are too busy going after all the shootings, the murders, the retail theft, the car theft, and the clowns on motorcycles.",MC,markthedevilc,0,12,The Roc ,car_theft
1855980584931054006,Mon Nov 11 14:27:08 +0000 2024,"Man fatally shot following car theft, chase by Philadelphia Police https://t.co/tuWTrLl7Z7",PhillyVoice,thephillyvoice,0,0,Philadelphia,car_theft
1855967433728594225,Mon Nov 11 13:34:53 +0000 2024,"The car theft crime spree plaguing Canada has spread to Scotland, with this report..@JaneBrownNews @cmcdonaldglobal @CBCToronto",bryan angus,mummmbles,0,0,"Toronto, Canada",car_theft
1855942890712654094,Mon Nov 11 11:57:21 +0000 2024,"FCT Police bust notorious car theft syndicate, arrest suspect, recover 3 vehicles
https://t.co/kLLAttriTd https://t.co/d8plqPguRN",Per Second News,persecondnewsng,0,0,Washington,car_theft
1855937245712130470,Mon Nov 11 11:34:55 +0000 2024,@Bratt_world Car theft will drop at least lol,Pissed immigrant 🇧🇷🇨🇦,anarcmaple,0,0,"Montréal, Québec",car_theft
1855868986342146072,Mon Nov 11 07:03:41 +0000 2024,@Bratt_world Car theft will stop,iGor,Skoskii,0,0,"Ontario, Canada",car_theft
1855823906827096469,Mon Nov 11 04:04:33 +0000 2024,@KirkLubimov Wow 5 cops just in the pic. What a waste of taxpayers money. Meanwhile car theft and violent crimes are going on all around them. Nothing to see here.🤦🏻‍♂️,Contrarian,ContrarianTribe,1,20,"Calgary, Alberta",car_theft
1855811437744046448,Mon Nov 11 03:15:00 +0000 2024,Unusual Car Theft Incident Reported in Bemidji https://t.co/6T9JN25puW,Thief River Falls,ThiefRiverFallz,0,0,Thief River Falls,car_theft
1855799235897332057,Mon Nov 11 02:26:31 +0000 2024,"Remember, the point is to prevent car theft, unsafe cars on the road, and other crimes.",Dr. Cubedreamer,cubedreamer,0,0,"Oregon, USA",car_theft
1855747301148361059,Sun Nov 10 23:00:09 +0000 2024,@FoodProfessor Perhaps car theft will slow down as stolen cars won't be shipped,weapon_m,weaponm1,0,0,"Brampton, Ontario",car_theft
1855700580372496887,Sun Nov 10 19:54:30 +0000 2024,@keithellison What have you done as MN AG?  Your answer to car theft is to sue a car maker that makes affordable cars and which will make them increase the price of their cars.  Further car insurance rates have increased.  Any sane AG would be going after the car thieves.,Hey Butthead,HeyButtHead2,1,1,"Minneapolis, MN",car_theft
1855691188793376994,Sun Nov 10 19:17:11 +0000 2024,Suspects getting pulled over and detained for suspected car theft https://t.co/3iup7PasOR,News Silo,NewsSiloTV,0,0,"Houston, TX",car_theft
1855652658180202681,Sun Nov 10 16:44:04 +0000 2024,"@SeanFraserMP @NormaRae20 @vetscanada We need a National Task Force on Homelessness, Addictions, Mental Health and Housing.  You did it for car theft...do it for this.",peggy cd (she/her🇨🇦🧡ally 🏳️‍🌈ally),56peggy,0,0,"Ontario, Canada",car_theft
1855635508321210393,Sun Nov 10 15:35:55 +0000 2024,"SERVICE ONTARIO Workers ARRESTED For CAR THEFT RING | We Love Hip Hop
https://t.co/JPiMzkqXYk",We Love Hip Hop Network,welovehiphopto,0,0,"Toronto, ON, Canada",car_theft
1855634743607308644,Sun Nov 10 15:32:53 +0000 2024,SERVICE ONTARIO Workers ARRESTED For CAR THEFT RING | We Love Hip Hop https://t.co/KZzQIhRmku via @YouTube,FRIDAY RICKY DRED,Fridayrickydred,0,0,"Toronto, Canada",car_theft
1855633372896194793,Sun Nov 10 15:27:26 +0000 2024,"@CoHNACanada @PeelPolice They couldn't stop car theft, it's not in their capacity.",Aghori Baba,Aghoribabaindia,0,0,Toronto ,car_theft
1855618663614664832,Sun Nov 10 14:28:59 +0000 2024,There is obviously a car theft epidemic in Jamaica. Every week there have been reports of car theft.,☈OMEKO✨,_romeko,0,0,"Houston, TX",car_theft
1855617600849354793,Sun Nov 10 14:24:46 +0000 2024,"Deadly New Wave of Car Theft, Watch Out If You Own Any of These Cars https://t.co/e82nwTEDt9 via @YouTube",JJ Johnson - Anti-Communist,realitysurvival,0,0,"New Hampshire, USA",car_theft
1855615783700754689,Sun Nov 10 14:17:33 +0000 2024,"@bklyngirl42 Good morning Sassy from the 2023 Car Theft Capital of the USA…Rochester, NY! https://t.co/lIIFqNcPoP",Danny C.,steelpen487,0,1,"Rochester, NY.",car_theft
1855584832195084493,Sun Nov 10 12:14:33 +0000 2024,"This car theft thing is OUT OF HAND, wth",Ron Rich💰,_roncrae,4,4,Jamaica,car_theft
1855474591038062906,Sun Nov 10 04:56:30 +0000 2024,"@BrielleClaremo1 Rape is not an academic crime, it’s a crime. Car theft can also impact the ability for someone to get an education. As can murder. That doesn’t make them academic crimes.",discombobulated,discobordism,0,0,America,car_theft
1855474003042828780,Sun Nov 10 04:54:10 +0000 2024,"@BrielleClaremo1 It is one thing for a university to penalize you if you have been convicted of car theft for example, but it would be a travesty of justice for them to penalize you for merely being accused of car theft.

Did you not learn the basics of liberalism? Libs have become anti-liberal.",discombobulated,discobordism,0,0,America,car_theft
1855466193047499013,Sun Nov 10 04:23:07 +0000 2024,"@BrielleClaremo1 Universities (rightfully) don’t prosecute car theft.

I 100% support the prosecution of heinous crimes like rape. In criminal prosecution, the basic liberal standard includes important rights for the accused, due process, and the presumption of innocence.",discombobulated,discobordism,0,0,America,car_theft
1855465496348410100,Sun Nov 10 04:20:21 +0000 2024,@yungggg123 Broooo I’m so sorry to see that happen to such a good person. Fuck car theft. Stay up my friend!,james | (유현선),yuhyunsun1,0,1,"Federal Way, WA",car_theft
1855393117102350694,Sat Nov 09 23:32:45 +0000 2024,"Millburn NJ Police Detective Helps Shut Down Luxury Car Theft Ring in NJ, NY &amp; Other States https://t.co/6IYoSdhrPC",Blue Lives Matter,RetiredNYCPD,0,0,NEW YORK,car_theft
1855364755088638079,Sat Nov 09 21:40:03 +0000 2024,"Charges are pending against a Lansing man and a Pennsylvania woman after police say they were involved in an incident that included a car theft and assault against a police officer in the Village of Lansing.
https://t.co/zDGI0Bohrc",WETM-TV,WETM18News,0,0,"Elmira, NY",car_theft
1855359756430684399,Sat Nov 09 21:20:11 +0000 2024,"@DLeBlancNB Illegal entry to this country is illegal is it not?  Praying in the streets?  Wearing masks ?  Shouting hate and death to Jews?  Breaking and entering?  Car theft?  Slum landlords?  You’re not ok Leblanc. Either that, or you’re willfully blind",Condy,loucondy,0,2,"Montréal, Québec",car_theft
1855305606158074049,Sat Nov 09 17:45:01 +0000 2024,Did you know? Henry Ford once patented a special car lock designed to prevent car theft—talk about innovation on wheels!,A Better Locksmith,abetterlock,0,0,"Edmond, OK",car_theft
1855303926548979778,Sat Nov 09 17:38:20 +0000 2024,7 from NJ charged in connection to multi-state high-end car theft ring https://t.co/9gcyk4Bmvx @catcountry1073,WPG Talk Radio 95.5 FM & 1450 AM,WPG1450,0,0,"Atlantic City, NJ",car_theft
1855296357860536511,Sat Nov 09 17:08:16 +0000 2024,@prageru please tell me you don't think the car theft one is real,Maura Annette Chappelle,MamuniaMaura,0,0,northern new hampshire,car_theft
1855290150680412607,Sat Nov 09 16:43:36 +0000 2024,Eight Men Charged in Connection with Interstate High-End Car Theft Ring. Investigated by @USAO_NJ @ATF_Newark @ECPONJ1 @HSINewark @NewarkNJPolice @NJSP @millburntwp PD @fairfieldpdnj &amp; Thanks @CBP @FBI @NYPDnews @PANYNJ Police @JCPoliceDept @TenaflyPDChief https://t.co/uCa2UDQxHU https://t.co/ctH8xPmOHa,ATF Newark,ATF_Newark,2,8,"New Jersey, USA",car_theft
