tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1857439681987608993,Fri Nov 15 15:05:04 +0000 2024,"@ivankatrumpo Absolutely, 100%. How much longer does the Deep State think they can keep their counterfeit operation going. It's at $36 Trillion debt and growing by $Billions every day. The U.S. Congress will fight that cuz they launder foreign aid into their own pockets.",Trueman,Trueman53161,0,0,Earth,counterfeit_operation
1634798592060735488,Sun Mar 12 06:08:52 +0000 2023,"Let them all fail they are illegal anyhow nothing but a ponzie scheme and counterfeit operation since 1913, they are behind every war",Barbra Oconnor,BarbraO72381401,0,0,Falmouth Kentucky,counterfeit_operation
1627052453161234432,Sat Feb 18 21:08:28 +0000 2023,"@POTUS If your children don’t think it worth it to be serfs to debt from Rich Dads living on income from bank property from feds legalized counterfeit operation, to protect people by agreeing MAD we need to explode the world over economics, fentanyl is just a suicide pill to avoid pain.",Thomas OMalley,ThomasO19290341,0,0,,counterfeit_operation
1607904123088953345,Wed Dec 28 00:59:51 +0000 2022,Great job by the officers in the 5th pct after another successful trademark counterfeit operation ! https://t.co/pxFLiKhLvS,NYPD 5th Precinct,NYPD5Pct,0,5,"19 Elizabeth Street, New York",counterfeit_operation
1571585379853283329,Sun Sep 18 19:42:07 +0000 2022,Haha so weak so lackluster so not diverse like Oakland tailgates.... counterfeit operation,A's Fan Radio,As_Fan_Radio,1,11,"Oakland, CA",counterfeit_operation
1418995121538748418,Sat Jul 24 18:02:55 +0000 2021,@RonsRant @RobertJ27837493 Was it a hit to hide counterfeit Operation? Did George Floyd threaten to spill the beans ? Did his supposed friend Set him up? https://t.co/XafDp4yq1V,Maryam Henein/ (aka BeeLady) / Non Psyop,MaryamHenein,1,1,Sarcasm Central ,counterfeit_operation
1410440074144096258,Thu Jul 01 03:28:13 +0000 2021,@coloradotravis I agree.  I took a different approach in that I did not sell but cut accumulation and waiting for the flush. The NY AG thing should have flushed it but it still survives. I don’t know how Tether is not considered a counterfeit operation. Imagine if North Korea started Tether. 😉,JustAnotherJarhead,JohnBostick,0,2,"Los Angeles, CA",counterfeit_operation
1377584337051340801,Thu Apr 01 11:31:14 +0000 2021,"@maddatpolitics @MindyBe @Yamiche @Br00ks3ySmil3 I've seen clerks in stores draw a line across a bill with a special pen that reveals if it's a counterfeit, and I've seen counterfeit bills on the wall of the cashier's booth. I thought that's all that happened unless you were running a counterfeit operation.",Paula Steiner,ButterflyMcGrew,0,2,North Florida,counterfeit_operation
1315038311396847616,Sat Oct 10 21:15:40 +0000 2020,@MarTheResister They're suppose to tie her and Biden to a child cannibalism ring operated out of a bunker in benghazi with Prez Xi overseeing the outpost branch in Wuhan that doubles as a counterfeit operation for renmembi paid to American attorneys.,@RBestweb,rbestwebs,0,1,33401,counterfeit_operation
1310654143762255880,Mon Sep 28 18:54:33 +0000 2020,@JamesOKeefeIII @SteveDraz @Project_Veritas Thank you for your hard work James!! Curious how this ties to Ilhan’s newest husband and the campaign money she’s paid to his company. And is she tied to the Somali daycare fraud in MN? And her ties to George Floyd’s counterfeit operation? Here in Mpls the rumors are rampant!,Neanderthals Against Baizuo (NAB),jennybean727,1,2,🇺🇸🇺🇸🇺🇸,counterfeit_operation
1118952948334321664,Thu Apr 18 19:02:26 +0000 2019,A source tells Action News Jax agents were collecting evidence at Toy Kingdom as part of a larger counterfeit operation. @ActionNewsJax @WOKVNews https://t.co/iN2uNqQwsB,Beth Rousseau,WFLABeth,1,0,"Tampa, FL",counterfeit_operation
1086694579380932608,Sat Jan 19 18:39:12 +0000 2019,"@FrGoyo For this reason, please be careful in any involvement you may have in your rosary ministry for there’s a risk that your name maybe used as reference to expand a counterfeit operation
As st Paul teaches, inspect carefully wether you involve or not, reject wrongness &amp; keep the good",RamonAntonio,RamAn345,1,2,PR,counterfeit_operation
998712329486336001,Mon May 21 23:49:09 +0000 2018,@remmy1881 @porktit Arthur had a whole counterfeit operation going on in the basement,The Honorable Petty Marshall,petty_marshall,0,2,🇨🇱🇺🇸,counterfeit_operation
830868713092026368,Sun Feb 12 19:58:32 +0000 2017,Ahhhh a simpler time ... imagine the counterfeit operation if tickets like this were in circulation today ...  #Woodstock https://t.co/Yv87qNjg1F,Matt Eastwood,matteastwood,0,0,"Boston, MA",counterfeit_operation
768599103894716417,Thu Aug 25 00:01:20 +0000 2016,@Carson_Sheriff is in a standoff at a house at Corbett&amp;Fall St. relating to a counterfeit operation they are investigating.,Taylor Pettaway,TaylorPettaway,0,0,"San Antonio, TX",counterfeit_operation
734838065370370049,Mon May 23 20:07:02 +0000 2016,"Why do cashiers check my money? Oh I forgot, I'm a 14 year old with a counterfeit operation.",Stefan Kobiljak,stefikob,0,4,,counterfeit_operation
685567145837740033,Fri Jan 08 21:01:59 +0000 2016,"Five Arrested For Alleged Counterfeit Operation
https://t.co/pjITatLelJ https://t.co/LGfmHYwzTP",Dan DeBaun,DeBaunDan,0,1,"Hopkins, Minnesota",counterfeit_operation
459333851957846016,Thu Apr 24 14:11:38 +0000 2014,"Walking in the spirit, living in the spirit enables us to locate, expose and destroy Satan's counterfeit operation.",Charles Hash,cthash,0,0,"Winston-Salem, NC",counterfeit_operation
382545393562951680,Tue Sep 24 16:41:43 +0000 2013,@oceancitymdnews Man killed last week in a W OC hit-and-run was the target of a federal retail counterfeit operation. http://t.co/Sw0z7Nz1gx,Todd Dudek,dudefoto,0,0,Salisbury,counterfeit_operation
305265356837093376,Sat Feb 23 10:38:27 +0000 2013,Six Arrested in Boulder City Counterfeit Operation - http://t.co/kixB7Ui3Wf #BoulderCity #Nevada,Nevada News,topix_nv,0,0,Nevada,counterfeit_operation
