tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1857747363906916705,Sat Nov 16 11:27:41 +0000 2024,"Chinese Cyber Attack Hits U.S. Telecom Firms: T-Mobile, AT&amp;T, and More Compromised https://t.co/IsoehBHdiY #computerforensics",compu4n6,compu4n6,0,0,Ft Lauderdale,cyber_attack
1857728552734454080,Sat Nov 16 10:12:56 +0000 2024,@UdoVoodoo14321 @JerichoXVI @realdogenews Cyber attack would 100% steal your money and probably a tesla.,Bizingus Rogers,CbizingusR,0,0,Ontario ,cyber_attack
1857653513393742032,Sat Nov 16 05:14:45 +0000 2024,since trump got elected my mom’s company (a Fortune 500) and mine experienced a cyber attack and it was badddd…not sure if his election has anything to do with it but wtf is going on fr,*ੈ✩ albert ⟢,pastelhottie,0,0,"Long Beach, CA",cyber_attack
1857634824111948017,Sat Nov 16 04:00:29 +0000 2024,@jimiuorio This is clearly a Russian cyber attack.  You know Trump is doing this for his buddy PUTIN!,Knucklehead Liar,Short_This_Now,0,0,"Akron, OH",cyber_attack
1857634324981404115,Sat Nov 16 03:58:30 +0000 2024,@so_anyway_ This must be the cyber attack they were talking about after the election,Clown Academy Dropout,clown_dropout,0,1,FL,cyber_attack
1857632069704200410,Sat Nov 16 03:49:33 +0000 2024,"I understand that people hate Jake but is @netflix under a Cyber attack? I was perfectly fine watching 8pm to 9:50pm and now I can’t watch the Live show I really hope when #WWERaw comes to Netflix we won’t have this. 

 #PaulTyson",RyanE,RyanSnip3r416,0,0,"Pennsylvania, USA",cyber_attack
1857631864858554810,Sat Nov 16 03:48:44 +0000 2024,@DonaldJTrumpJr @MikeTyson @jakepaul Could it be industrial espionage?  Cyber attack?  This it a an unmitigated disaster for Netflix.  Who stands to gain?  This is bizarre,Billy,OriginalMuMan,0,0,"Huntsville, AL",cyber_attack
1857630994532086221,Sat Nov 16 03:45:16 +0000 2024,"I used to worry about EMP or cyber attack on Bitcoin, but if an attack is so bad that it cripples 99.9% of nodes worldwide then Bitcoin is probably the least of your problems. Also, it would only take one node surviving to reconstitute the network.",Secure Sovereign 🚀₿❤️,secsovereign,0,1,United States,cyber_attack
1857630966296060198,Sat Nov 16 03:45:10 +0000 2024,@landon_tengwall Disaster. Wonder it coukd be cyber attack.  Surly they can't be this incompetent.,Billy,OriginalMuMan,0,0,"Huntsville, AL",cyber_attack
1857630939351797930,Sat Nov 16 03:45:03 +0000 2024,Anyone think Netflix being down has to do with a cyber attack?,🇺🇸 Mac in America 🇺🇸,macgnme,0,0,"Spearfish, SD",cyber_attack
1857629995167781033,Sat Nov 16 03:41:18 +0000 2024,@JNewellUSArmy @netflix yeah they seem to be having some problems perhaps a cyber attack DDOS going on or not prepared for all the india/mexico/p.r./usa viewers. might even be an output issue this might be bigger than a  Super Bowl.,theRinga𝕏,theRingaX,0,1,"Phoenix, AZ",cyber_attack
1857626586557911325,Sat Nov 16 03:27:45 +0000 2024,"Word on the street is that Russia has launched a massive cyber attack against Netflix.

This means war. 😏",Will Schryver,imetatronink,4,145,"Cedar City, Utah, USA",cyber_attack
