tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1857599927850807692,Sat Nov 16 01:41:49 +0000 2024,ppl bragging ab domestic violence pls go heal,cris ❼,cris_pizza,1,2,south tx,domestic_violence
1857598224351244505,Sat Nov 16 01:35:03 +0000 2024,Domestic violence?!?! Nah this violence is completely platonic,Rose Gold Robbin 2.0,golden_rose_t4t,0,1,"Houston, TX",domestic_violence
1857597828157108362,Sat Nov 16 01:33:29 +0000 2024,@JNoinan Those children have been exposed to statistically more domestic violence than if they were left with their parents.,Sweenis,Sweenis0,0,1,"Alberta, Canada",domestic_violence
1857596708064211346,Sat Nov 16 01:29:02 +0000 2024,"@DefiyantlyFree You may know my top specialty is domestic violence prevention. Democrats are like Abusers - it's easy to ""get things done"" when you don't care who gets hurt, only that you get what you want. https://t.co/Fmkv7Ff33E",Dr. Dina McMillan,drdina1,0,2,Australia and USA,domestic_violence
1857595937914237317,Sat Nov 16 01:25:58 +0000 2024,@Fernand46357857 Isn’t sexual assault admired by evangelical Trump voters? There sure r a shitload of the SA scum in the upper echelon of the Republican Party. (And in their churches too. Imagine that! Give me a male dominated society/Govt/church &amp; voila! sexual assault &amp; domestic violence go up),Lynn another nasty woman for the resistance,Ldenisonstevens,0,1,US,domestic_violence
1857595032548815084,Sat Nov 16 01:22:22 +0000 2024,Domestic violence: Laws are designed for criminals https://t.co/QRdvUdXvuN via @YouTube,Sandra ~🌾🌻🍂🍁✨🫧☮️🕊️✝️🙏🏻,cydertyme,1,0,"Kamloops, British Columbia",domestic_violence
1857594780718375286,Sat Nov 16 01:21:22 +0000 2024,"#UPDATE: The police officer suffered a gunshot wound while responding to a domestic violence call in Montgomery County on Friday, the District Attorney's Office said. https://t.co/f9f4HSdjMk",NBC10 Philadelphia,NBCPhiladelphia,0,2,"Philadelphia, PA",domestic_violence
1857594412517200231,Sat Nov 16 01:19:55 +0000 2024,"@WldBluActual @TiffanyShepis I'm more worried about the ""non -criminals"". The horrible parents with a gun in the closet and a teen boy in his room, the drunk domestic violence husband, the depressed older men. Those are gun deaths and murders waiting to happen",Aschleighje,aschleighj2022,0,0,"Massachusetts, USA",domestic_violence
1857593520447463741,Sat Nov 16 01:16:22 +0000 2024,Domestic Violence Calling Your Name,Dooofussss 😎,BAEHELPDOOOF,1,1,"New Mexico, USA",domestic_violence
1857593498905833701,Sat Nov 16 01:16:17 +0000 2024,"Freedom From Domestic Violence and Abuse is Within Reach. 
Call ADV!
1-800-339-7233
https://t.co/fD88bkO2Qp

#domesticabuse #domesticviolence 
#Riversidecalifornia #riversidecounty https://t.co/E5upSGnMWl",Alternatives to Domestic Violence (Riverside),ToRiverside,0,0,"Riverside County, CA",domestic_violence
1857592030160916971,Sat Nov 16 01:10:27 +0000 2024,"New report finds domestic violence against women on Long Island increased by 42%.
https://t.co/bY95QA8scY",The Tornado News,TheTornadoNews,0,0,"Orange, NJ",domestic_violence
1857589454149423162,Sat Nov 16 01:00:12 +0000 2024,"Crooks cracked into 25 storage units inside of a Public Storage in Houston’s Galleria area.

One of the victims is Fresh Spirit Wellness, an advocacy group that was preparing to give Christmas presents to children of domestic violence situations. https://t.co/hpSgfYVrbe",KPRC 2 Houston,KPRC2,4,7,"Houston, TX",domestic_violence
1857588465245769790,Sat Nov 16 00:56:17 +0000 2024,"As someone who loves puzzles, this is abuse. Remember to call the Domestic Violence Hotline if you're in danger. (800) 799-7233",BusterNutt Video,pmtwreckhouse,0,0,"Texas, USA",domestic_violence
