tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1852856667983257613,Sat Nov 02 23:33:48 +0000 2024,"[Video] Law enforcement officials have announced a major fentanyl drug bust in California. #news #parentsoftiktok #california  #Fentanyl #Illegaldrugs #Lawenforcement
https://t.co/eT3RsRdt3r",Natalie Garner,Natalie49229738,0,0,"Los Angeles, CA",drug_bust
1847364761908056515,Fri Oct 18 19:50:56 +0000 2024,"Massive Fentanyl and Heroin Haul in South LA, Local Man Charged in $4 Million Drug Bust #Heroin #LosAngelesPoliceDepartment #Fentanyl #CrimeStoppers #Lawenforcement
https://t.co/WHJKYCqj0A",Natalie Garner,Natalie49229738,0,0,"Los Angeles, CA",drug_bust
1845444410185556145,Sun Oct 13 12:40:08 +0000 2024,"Members of 'Dirty Money' organization arrested after drug bust #Drugdistribution #Guns #Oxycodone #Smallarms #Marijuana
https://t.co/sJ9n0z4x0X",CapBlackOpinions,CapBlackOpinion,0,0,"New Orleans, LA",drug_bust
1843654260220969218,Tue Oct 08 14:06:43 +0000 2024,"Ten pharmaceutical executives, representatives, and brokers have been charged in the largest criminal enforcement of U.S. opioid distributors. The drug bust uncovered the distribution of nearly 70 million opioid pills with a street value of $1.3 billion. 

https://t.co/2BaJ4EEU4P",Anthony Morabith🎙️,AnthonyMorabith,0,0,"Jefferson City, MO",drug_bust
1839149517775442248,Thu Sep 26 03:46:29 +0000 2024,"The whole fsmdamnly has issues..

Donald Trump Jr's squeeze Bettina Anderson was caught up in drug bust

https://t.co/8EK0LhqujQ

Download Now
https://t.co/HnE6bB92Hm",Stephen Marsteller,bubba7921,0,0,,drug_bust
1837264401146994878,Fri Sep 20 22:55:42 +0000 2024,My family has articles on major drug bust and things from the past not in books and stories not in books. @richarddems  @scott_dei . Noone has ever wrote him as a person story. He was just as great a person. My grandfather got a stolen TV and my uncle took it  bought a new one https://t.co/SmRUt2nOgU,PriscillasLife3,Prissys_Life,0,0,,drug_bust
1830046276563370051,Sun Sep 01 00:53:27 +0000 2024,"Nearly 50 facing charges after major drug bust tied to Mexican cartels in Gwinnett County

https://t.co/hRKXEQasiJ",David (Perry) Perreault,DavidPerreault,0,0,Canada ,drug_bust
1828515599439352231,Tue Aug 27 19:31:05 +0000 2024,"@MissMDSN Biggest drug dealer in South Africa is a man named Paul Le Roux. He's white. Drug Kingpin of Cape Town, he's not black or Nigerian he's of Indian origin. Biggest drug bust in South Africa no Nigerian was involved. Why's there no outcry against them? https://t.co/GUgh7Skmax",Kome Ovo,ovoFlaminghot3,0,0,"Missouri, USA",drug_bust
1826858449071735137,Fri Aug 23 05:46:10 +0000 2024,"@king_webstar @B1TuckerCarlson @ChezCharde This is the biggest drug bust in SA, no Nigerians were involved https://t.co/VvRX3uismW",Kome Ovo,ovoFlaminghot3,0,0,"Missouri, USA",drug_bust
1824814121335820465,Sat Aug 17 14:22:44 +0000 2024,"@nyebe_official Simple internet search.

Biggest drug bust in South Africa - https://t.co/08zgybSaHi",Kome Ovo,ovoFlaminghot3,0,1,"Missouri, USA",drug_bust
