tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1857267294516244841,Fri Nov 15 03:40:04 +0000 2024,"Bradenton woman faces murder charge after causing drug overdose death, deputies say https://t.co/T3HcfnXZgB",Bradenton Herald,bradentonherald,0,0,"Bradenton, Florida",drug_overdose
1857261525435863063,Fri Nov 15 03:17:08 +0000 2024,You’re a psycho lying *ITCH who should be sued for defamation of #GeorgeFloyd by HIS FAMILY! How dare you falsely state a potential drug overdose !! You had me up to that bull💩YOU GET A ROOM RIGHT BESIDE ON THESAME FLOOR WITH HACKEMLIZZIE2.024!,RighteousAnger‼️LongOverDue‼️,BabySista13,0,0,"California, USA",drug_overdose
1857259677056111048,Fri Nov 15 03:09:47 +0000 2024,@its_The_Dr Pedo who was with a minor and in a hotel in California who died from a drug overdose.,Robert Pulsin,RobertPulsin5,0,0,"Los Angeles, CA",drug_overdose
1857258154578317312,Fri Nov 15 03:03:44 +0000 2024,I'da added a couple zeroes if I were them. The state has free money flowing all over Floyd Drug Overdose Square,🗽🇺🇸 🇮🇱 Balou8900 🎶🎧,Balou8900,1,1,Cottage Grove MN,drug_overdose
1857197160724328549,Thu Nov 14 23:01:22 +0000 2024,"Can a prescribing doctor be held liable when medications lead to tragedy? Explore your legal rights in MD if a loved one suffered from a prescription drug overdose. Learn how medical malpractice laws protect your family.

#thelawofficesofpetertnicholl 
https://t.co/x071Dc2m5p",The Law Offices of Peter T. Nicholl,nicholllaw,0,0,"Baltimore, MD",drug_overdose
1857195126067785828,Thu Nov 14 22:53:17 +0000 2024,"Drug overdose deaths in Alaska jump 38.68% in a year as nationwide rate drops 14%

""... notable increases were seen in the number of overdose deaths involving fentanyl (a synthetic opioid) and methamphetamine ...""

https://t.co/E0AdZm3m6e #Alaska #akleg",Rich Thompson,RichThompsonAK,0,0,Alaska,drug_overdose
1857188528150507610,Thu Nov 14 22:27:04 +0000 2024,"Upstate man charged in drug overdose death, deputies say https://t.co/8k0JdFuNGX",WYFF News 4,wyffnews4,2,4,"Greenville, SC",drug_overdose
1857181770707267858,Thu Nov 14 22:00:13 +0000 2024,"Drug overdose deaths are going down across the country, but not here in Nevada https://t.co/LSE9bLSFgq",KOLO8,KOLO8,0,1,"Reno, NV",drug_overdose
1857178206123491383,Thu Nov 14 21:46:03 +0000 2024,"The Oconee County Sheriff's Office said a man that was arrested Wednesday evening, was charged by investigators on Thursday with involuntary manslaughter in a drug overdose investigation.
https://t.co/0qzj8FGFa4",WSPA 7NEWS,WSPA7,1,2,"Spartanburg, S.C.",drug_overdose
1857177631017558207,Thu Nov 14 21:43:46 +0000 2024,@Michele_Tafoya Decent people don't rejoice and open windows to listen to the sounds of his city burning during a riot over a drug overdose.,Michael Dineen,michaeldineen58,0,1,Long Island NY,drug_overdose
1857174209710997551,Thu Nov 14 21:30:10 +0000 2024,"Bradenton woman faces murder charge after causing drug overdose death, deputies say https://t.co/NflVKzMD3G",Bradenton Herald,bradentonherald,0,0,"Bradenton, Florida",drug_overdose
1857173897788989908,Thu Nov 14 21:28:56 +0000 2024,"A Seneca man, who was booked into jail Wednesday evening due to charges obtained during a traffic stop, was charged by Investigators today with Involuntary Manslaughter in a drug overdose investigation.  For more info, click on the link below:
https://t.co/9CWt53IXcA https://t.co/E3LbsJqrR5",Oconee County Sheriff’s Office (SC),oconeelaw,0,0,"Walhalla, South Carolina",drug_overdose
1857173702728692111,Thu Nov 14 21:28:10 +0000 2024,It's hard to believe @KSTP would even cover this since they are all in with the fake believe Floyd was murdered when the autopsy clearly shows drug overdose.,USTGirl27,Girl27Ust,0,1,USA,drug_overdose
1857171447892066533,Thu Nov 14 21:19:12 +0000 2024,"Trump's ME envoy is a Jewish real estate mogul. He donated $2M to Trump campaign. His 22 yr old son died of a prescription drug overdose at a ""sober living facility"" in California in 2011.

Money does not buy happiness, but it buys a lot of other things. 

https://t.co/cf8kAYBfKs https://t.co/PDsZf21J1G",Dr.Sophia Ulgen 🇷🇺☮🇺🇸,ulgenfatma74,1,1,United States,drug_overdose
