tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1855652580208017755,Sun Nov 10 16:43:46 +0000 2024,FRAUD ALERT!  I saw him call this and I laughed my arse off!  What a dweeb!,Ann Robischon,AnnRobischon,0,0,America,fraud_alert
1855651301516054670,Sun Nov 10 16:38:41 +0000 2024,"@pnjaban 🚨 ARIZONA FRAUD ALERT:

With 87% of votes counted, Kari Lake has received 148,821 votes LESS than Donald Trump.

Ruben Gallego has received 81,373 votes MORE than Kamala Harris.

Green Candidate has received 62,823 votes.

That is a major advantage for Kari Lake as Green Party",Publius,OcrazioCornPop,78,171,United States,fraud_alert
1855641650959470683,Sun Nov 10 16:00:20 +0000 2024,"@JakeHoffmanAZ 🚨 ARIZONA FRAUD ALERT:

With 87% of votes counted, Kari Lake has received 148,821 votes LESS than Donald Trump.

Ruben Gallego has received 81,373 votes MORE than Kamala Harris.

Has this statistical anomaly happened in any other of the 49 States?

Trump voters voted for a",Publius,OcrazioCornPop,20,40,United States,fraud_alert
1855641640318185721,Sun Nov 10 16:00:17 +0000 2024,@IanJaeger29 Fraud alert!,Bryn Shaw,BrynInvent,0,0,"Sykesville, MD",fraud_alert
1855635702672728306,Sun Nov 10 15:36:42 +0000 2024,"🚨 ARIZONA FRAUD ALERT:

With 87% of votes counted, Kari Lake has received 148,821 votes LESS than Donald Trump.

Ruben Gallego has received 81,373 votes MORE than Kamala Harris.

Has this statistical anomaly happened in any other of the 49 States?

Hopefully D.O.G.E. Team will",Publius,OcrazioCornPop,44,196,United States,fraud_alert
1855635426251550898,Sun Nov 10 15:35:36 +0000 2024,"@elonmusk Is DOGE looking into this @elonmusk ?

🚨 ARIZONA FRAUD ALERT:

With 87% of votes counted, Kari Lake has received 148,821 votes LESS than Donald Trump.

Ruben Gallego has received 81,373 votes MORE than Kamala Harris.

Has this statistical anomaly happened in any other of the 49",Publius,OcrazioCornPop,7,19,United States,fraud_alert
1855635329874563481,Sun Nov 10 15:35:13 +0000 2024,"@elonmusk Is DOGE looking into this @elonmusk ?

🚨 ARIZONA FRAUD ALERT:

With 87% of votes counted, Kari Lake has received 148,821 votes LESS than Donald Trump.

Ruben Gallego has received 81,373 votes MORE than Kamala Harris.

Has this statistical anomaly happened in any other of the 49",Publius,OcrazioCornPop,2,5,United States,fraud_alert
1855635241534185927,Sun Nov 10 15:34:52 +0000 2024,"@elonmusk Is DOGE looking into this @elonmusk ?

🚨 ARIZONA FRAUD ALERT:

With 87% of votes counted, Kari Lake has received 148,821 votes LESS than Donald Trump.

Ruben Gallego has received 81,373 votes MORE than Kamala Harris.

Has this statistical anomaly happened in any other of the 49",Publius,OcrazioCornPop,2,10,United States,fraud_alert
1855626147813351899,Sun Nov 10 14:58:44 +0000 2024,"🚨 ARIZONA FRAUD ALERT:

With 87% of votes counted, Kari Lake has received 148,821 votes LESS than Donald Trump.

Ruben Gallego has received 81,373 votes MORE than Kamala Harris.

Has this statistical anomaly happened in any other of the 49 States?",Publius,OcrazioCornPop,183,506,United States,fraud_alert
1855624800586416318,Sun Nov 10 14:53:22 +0000 2024,@AltcoinDailyio .@charliekirk11 .@VivekGRamaswamy fraud alert.,Thrillhouse,ThrillhouseBTC,0,0,Oregon,fraud_alert
1855617484394516576,Sun Nov 10 14:24:18 +0000 2024,VOTER FRAUD ALERT,Johnny ,JohnnyMStalvey,0,1,United States,fraud_alert
1855611810545541341,Sun Nov 10 14:01:45 +0000 2024,@bhjr67 Eew fraud alert 😂😂😂😂,Deana 🧡🤎🏈,Deana26Deana,0,1,"cleveland,oh",fraud_alert
1855598903657181434,Sun Nov 10 13:10:28 +0000 2024,"@kylenabecker @KariLake Fraud alert: Arizona is now a war zone

Seize voting machines. Seize ballots. Recount. Recount recount.",Just a “Typical MAGA American”,1Mikebaldwin,0,0,USA,fraud_alert
1855586447694192785,Sun Nov 10 12:20:58 +0000 2024,"🚨  ARIZONA FRAUD ALERT:  @KariLake is beating Kamala Harris while losing to Gallego by 50,000.  

Gallego has 100,000 more votes than the Democrat Congressional candidates in Arizona. ⁦@KprodiG⁩ https://t.co/WWXMIH0FRF",Joshua Burr,JoshuaBurr1,0,0,"Sanford, FL",fraud_alert
1855586394451722517,Sun Nov 10 12:20:46 +0000 2024,"🚨  ARIZONA FRAUD ALERT:  @KariLake is beating Kamala Harris while losing to Gallego by 50,000.  

Gallego has 100,000 more votes than the Democrat Congressional candidates in Arizona. https://t.co/lMQ3UrarcA",Joshua Burr,JoshuaBurr1,0,0,"Sanford, FL",fraud_alert
1855558649902518541,Sun Nov 10 10:30:31 +0000 2024,@GardensR4Health They put a fraud alert on me and I had to prove my identity and still nothing 35 days later… https://t.co/TdPWxNPZgu,Goddess Ivy Sagarius Kahun,YoniPearlGod,0,0,Washington ,fraud_alert
1855533871489556850,Sun Nov 10 08:52:03 +0000 2024,@CalltoActivism Fraud alert! 🚨,PDXalex,alexdipaola,0,1,"Portland, OR",fraud_alert
1855503986259816523,Sun Nov 10 06:53:18 +0000 2024,MN fraud alert💥,SD50MNGOP,SD50MNGOP,1,2,"Edina, MN",fraud_alert
1855498173290258818,Sun Nov 10 06:30:12 +0000 2024,🚨Fraud alert 🚨,Taylor Cash,IdahogrownTCash,0,3,"Idaho, USA",fraud_alert
1855494215662231737,Sun Nov 10 06:14:29 +0000 2024,@jasonrantz @RepSwalwell Fraud Alert 🚨 https://t.co/C7IxoDDfV7,Breaking News,TrendingNewsNo3,0,1,"Alpharetta, GA",fraud_alert
1855489211626827827,Sun Nov 10 05:54:36 +0000 2024,@TonyIsNotWorthy This was the week of exposure. Georgia is officially on fraud alert,Charles (Dynasty CHAMP Chuck),cpenn4thewin,0,1,"Kansas City, MO",fraud_alert
1855485194326704592,Sun Nov 10 05:38:38 +0000 2024,@ProudElephantUS FRAUD ALERT!!! ⚠️⚠️⚠️,Pellchinnn,Pellchinnn,1,2,Sweden,fraud_alert
1855485146566176804,Sun Nov 10 05:38:26 +0000 2024,FRAUD ALERT!!! ⚠️⚠️⚠️,Pellchinnn,Pellchinnn,0,0,Sweden,fraud_alert
1855478786457833576,Sun Nov 10 05:13:10 +0000 2024,Whitt has the boys ready to play! BYU is on fraud alert,🌹 UTEnlv 🌹,UTEnlv,0,0,"Las Vegas, NV",fraud_alert
1855476096260825340,Sun Nov 10 05:02:29 +0000 2024,BYU on fraud alert,THE UofO Ducks,jacenmiller,0,1,"Coburg, OR",fraud_alert
1855471459092550078,Sun Nov 10 04:44:03 +0000 2024,Pretty sure in the next two hours I’m going to get an email and text from my bank like “FRAUD ALERT: Someone used your credit card at a bar. Please reply ‘Help please omg that wasn’t me I was watching Twin Peaks oh god no why’ if this wasn’t you.”,Kelsey Kennedy,kelseyskennedy,0,1,Brooklyn,fraud_alert
1855468417622622338,Sun Nov 10 04:31:58 +0000 2024,@Shane00 phone at 3% at the game but ur bitch ass is on fraud alert hopefully all the tweets wont be gone tmr,GenZ Patriot 🇺🇸🇷🇺,GenZ_Patriot45,0,1,"Anaheim, CA",fraud_alert
1855456017426870579,Sun Nov 10 03:42:41 +0000 2024,Cam Ward fraud alert. Ashton Jeanty slowing down. Travis Hunter should be in the lead again,13yr old with a credit card,13yroldwithcc,0,5,Green Bay,fraud_alert
1855455293754229139,Sun Nov 10 03:39:49 +0000 2024,"@ZigSportsVoice Fraud alert. If you can’t win with Nabers, Daniels, Thomas. He’ll never win the big one there",Alex Micheletti,AlexMicheletti,0,1,"St. Louis Park, MN",fraud_alert
1855454415999717449,Sun Nov 10 03:36:20 +0000 2024,Fraud alert https://t.co/CtwmuvyQsS,Stephen Ryan Amick,Stamick6,0,0,"Lexington, SC",fraud_alert
1855448914910179402,Sun Nov 10 03:14:28 +0000 2024,@InterMiamiCF @FLBlue Fraud alert 🚨,Rick,HickRuffman,0,0,"Seattle, WA",fraud_alert
1855448535556411644,Sun Nov 10 03:12:58 +0000 2024,Fraud alert 🚨 🚨🚨🚨🚨🚨🚨🚨🚨,Collin Whalen,WhalenHadTo,0,0,"Phoenix, AZ",fraud_alert
1855448469466407179,Sun Nov 10 03:12:42 +0000 2024,"Messi can’t even win a MLS Cup
            🚨Fraud Alert🚨",Brian,Donahue12,1,3,"Grayson, GA",fraud_alert
1855434662698533045,Sun Nov 10 02:17:50 +0000 2024,Fraud alert 🚨,Black Gen Z Mindset,BGZMnews17,1,2,"Atlanta, GA",fraud_alert
1855430219580203344,Sun Nov 10 02:00:11 +0000 2024,@GeauxDuck Little less “belt to ass” (which is retarded af btw - sorry somebody needed to tell you) and more just overall “ass” if you want the truth of the matter. Fraud alert bells are beginning to chime🚨 Only CFP fans who respect this Ducks team are Oregon homers. Just a fact.,dave,dyork55,0,1,"ballard, wa",fraud_alert
1855400115567296959,Sun Nov 10 00:00:33 +0000 2024,@tylerbowyer Fraud alert!!!,James C,scottm2032,0,0,"Scottsdale, AZ",fraud_alert
1855394632214925349,Sat Nov 09 23:38:46 +0000 2024,Georgia on fraud alert again,Matt,damagemeter,0,1,"Tuscaloosa, AL",fraud_alert
1855368570647052323,Sat Nov 09 21:55:12 +0000 2024,Colorado is on fraud alert,Brett,BLeez17,0,2,"Columbus, Ohio",fraud_alert
1855367607307968834,Sat Nov 09 21:51:23 +0000 2024,@srxmufc been on fraud alert since euros,mxta,mxta_twts,0,1,atl,fraud_alert
1855367069434561005,Sat Nov 09 21:49:15 +0000 2024,@CitizenCallerUS Fraud alert!,Doug Walkinghorse 🟦,walkinghorseMT,0,0,"Shelter Island, NY",fraud_alert
1855364019437064557,Sat Nov 09 21:37:07 +0000 2024,"🚨 Fraud alert: @AlinejadMasih in a panel with @johnavlon cynically insinuated that Iran's regime bots are supporting president Trump. She is only after money and air time and says ANYTHING that benefits her. 
@elonmusk @grenell please keep her away from incoming admin. She's https://t.co/T8EOQMZCAN",Iranian Americans for Liberty,LibertyIranian,10,37,"Washington, D.C.",fraud_alert
1855351853430841487,Sat Nov 09 20:48:47 +0000 2024,MIAMI! How do you lose to Georgia Tech?! Fraud Alert! 🚨,Spencer Fulton🇧🇬,spencerfulton18,0,0,"Ohio, USA",fraud_alert
1855351635372806498,Sat Nov 09 20:47:55 +0000 2024,@BleacherReport @GeorgiaTechFB Fraud alert 🚨,DJ (7-2),DeeJBennett,0,0,Texas,fraud_alert
1855350798022004869,Sat Nov 09 20:44:35 +0000 2024,🚨 FRAUD ALERT 🚨 https://t.co/us1ebno4St,Womack,TheTrumanShow89,0,6,"Murfreesboro, TN",fraud_alert
1855350442529624559,Sat Nov 09 20:43:10 +0000 2024,Not @dannykanell on my favorite Atlanta sports radio this week putting Miami on fraud alert for being ranked 4th with no top 25 wins….. I appreciate you sir 🫡,mattie,mattieelise,0,6,"Atlanta, GA",fraud_alert
1855349129746223292,Sat Nov 09 20:37:57 +0000 2024,🚨🚨🚨 Miami fraud alert! 🚨🚨🚨,Trevor,trevordalton01,0,0,"Oklahoma, USA",fraud_alert
1855346761734451507,Sat Nov 09 20:28:33 +0000 2024,"@glennkirschner2 @eyemagistus 2024 Election Fraud Alert: The Democratic Party need forensic State voter investigations immediately! Where did 15-20 million Democrat votes disappear. 

Trump, the convicted felon, committed election fraud in 2016 and 2020.  Why the hell would 2024 be any different? https://t.co/RA6kuwFbBP",Yogi 🌞,YogiSunlight,0,0,United States,fraud_alert
1855346508184568241,Sat Nov 09 20:27:32 +0000 2024,"2024 Election Fraud Alert: The Democratic Party need forensic State voter investigations immediately! Where did 15-20 million Democrat votes disappear. 

Trump, the convicted felon, committed election fraud in 2016 and 2020.  Why the hell would 2024 be any different? https://t.co/JT07aThRKD",Yogi 🌞,YogiSunlight,0,0,United States,fraud_alert
1855343894399004790,Sat Nov 09 20:17:09 +0000 2024,Miami on fraud alert,Malc,malcb_,0,1,"Dallas, TX",fraud_alert
1855340899913318817,Sat Nov 09 20:05:15 +0000 2024,@CanesWarningFS Is Guidry on fraud alert? @CanesWarningFS ? Or?,Joshua Williams,JediJoshua58,0,0,"Charleston, WV",fraud_alert
1855339558621360324,Sat Nov 09 19:59:55 +0000 2024,I see Miami is on fraud alert again,nonégla🥶,__AWII,0,0,Atlanta,fraud_alert
1855331820348543142,Sat Nov 09 19:29:11 +0000 2024,"Love #CFB‼️

Especially when we are once again on fraud alert. 

GT 21-10 over Miami 3 QT 5:59",Tim Samuels,Horns63,0,2,"Corsicana, TX",fraud_alert
