tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1857653500383297855,Sat Nov 16 05:14:42 +0000 2024,Said NO YOUR STAFF SUPPORTER SELF TO MY DOCUMENTS MY SSI MY HOME HOLT NUMBER MY ACCOUNTS MY THOUGHT ON. MY SOCIAL PAGE CONTROL ME N MY OWN HOLT HOME IT NO NOW POLICE REPORT U USE GANG ACTIVITY ROB DEAD MAN WHOLE HOUSE FOR SEX OFFENDER TO ABUSE ASSAULT MAN WIFE KIDS WAT IS,Myra Brady,MyraBrady154131,0,0,"San Diego, CA",gang_activity
1857605085573849414,Sat Nov 16 02:02:19 +0000 2024,@Brian1422355390 @TraffickReport1 The Tennessee Bureau of Investigation has put out a Statewide Alert for Venezuelan Gang activity .,Fireman John,firemanjohn629,0,1,"Florida, USA",gang_activity
1857601325376094307,Sat Nov 16 01:47:23 +0000 2024,"@ScottSm00 @haymes_joshua You mean the largest cities?  Lol, population density and the prevalence of gang activity, which doesn’t exist in garbage towns where no one lives?  Again, very obviously",LamesJankford,LamesLankford,0,0,"Oklahoma, USA",gang_activity
1857597747865817543,Sat Nov 16 01:33:10 +0000 2024,"@realdogenews Yes. It is redundant. Alcohol and tobacco come under the purview of HHS. All firearms control should come under either the FBI or local law enforcement. And the only firearms control should be limited to actual criminal activity like gun running (Obama), gang activity, terrorism,",Uncommon Joyce✝️🇺🇸⛺️🌪🌌,MontanaPenguin,0,1,"Washington, USA",gang_activity
1857572703965749290,Fri Nov 15 23:53:39 +0000 2024,"@EvanAKilgore Where is Diego? Is he already in jail for raping innocent American girls, or dealing fentanyl, or human trafficking? Gang activity?",The Hawkington Post,Paulhawkington,0,0,USA,gang_activity
1857553261596700916,Fri Nov 15 22:36:23 +0000 2024,Is this happening in other states also? I knew they were bad in Colorado but this is the first I’m hearing of it in TN. Tennessee seeing surge in Tren de Aragua gang activity |  https://t.co/28LxBAMRVw,John,Squigglefarms,0,0,"Tennessee, USA",gang_activity
1857550298212085764,Fri Nov 15 22:24:37 +0000 2024,"So interesting. Among other things, the use of AI in gang activity policing.",Nick Campos,DrNickCampos,0,0,Los Angeles,gang_activity
1857531540562944111,Fri Nov 15 21:10:05 +0000 2024,"@BasedMikeLee Biden's open border policy is a disaster. His administration's lack of action has led to a surge in gang activity, putting American lives at risk. When will Democrats take responsibility for their failures?",Stop Socialist Tyranny,endlibtyranny,0,1,Europe and North America,gang_activity
1857528022032662563,Fri Nov 15 20:56:06 +0000 2024,@KETV Should focus her attention to the increase of gang activity in Omaha. I guess what you don't know won't hurt you.,cantpickem,cantpickemall,0,0,"New London, CT",gang_activity
1857507371989266892,Fri Nov 15 19:34:02 +0000 2024,"Hey @GovCox what is your plan to deal with this? 
“The law enforcement source that spoke to TPM added that authorities are seeing a ""big surge"" of Tren de Aragua in Utah, and that a hot spot for the gang activity is occurring in West Jordan.”",lmdh722,lmdh722,0,0,"Manhattan, NY",gang_activity
1857507326313328883,Fri Nov 15 19:33:52 +0000 2024,"A law enforcement source that I spoke to added that authorities are seeing a ""big surge"" of Tren de Aragua in Utah, and that a hot spot for the gang activity is occurring in West Jordan.",Thomas Stevenson,RealTStevenson,89,303,USA,gang_activity
1857497813929906373,Fri Nov 15 18:56:04 +0000 2024,"Tennessee seeing surge in Tren de Aragua gang activity https://t.co/es9wS05Q00 #FoxNews 
Put a bounty on their heads",Joseph,Harold_the_Wolf,0,0,"Kalispell, Montana",gang_activity
1857492447191855563,Fri Nov 15 18:34:44 +0000 2024,"The lying Biden/Harris/Democrat Congress along with sanctuary city governors have CREATED this nightmare for America! President Trump will fix it!

Tennessee seeing surge in Tren de Aragua gang activity https://t.co/dHs9muOVLO #FoxNews",Jim Seifert,seifert_jim,0,0,"Florida, USA",gang_activity
1857488455191945333,Fri Nov 15 18:18:52 +0000 2024,"Communist Democrats purposely sent dangerous thugs into red states! Communist Democrats are the enemy from within! Never trust them- they lie, blame shift, revisionist history, and don't care about you. Tennessee seeing surge in Tren de Aragua gang activity",Jon Doe,SassyBandit6969,0,0,Culver City,gang_activity
1857488349713383719,Fri Nov 15 18:18:27 +0000 2024,"Communist Democrats purposely sent dangerous thugs into red states! Communist Democrats are the enemy from within! Never trust them- they lie, blame shift, revisionist history, and don't care about you. Tennessee seeing surge in Tren de Aragua gang activity",Jon Doe,SassyBandit6969,0,0,Culver City,gang_activity
1857487857902039488,Fri Nov 15 18:16:30 +0000 2024,"In the new America, with a weakened DOJ &amp; FBI and a more favorable tax environment for laundering money, this feels like a growth environment for young enterprising criminal startups😭. Im long on crypto and gang activity 🚀🚀🚀",My name is Frediculous on the other app too,Frediculous,29,76,Seattle,gang_activity
1857470931846963559,Fri Nov 15 17:09:14 +0000 2024,Deport  ALL illegals!  Tennessee seeing surge in Tren de Aragua gang activity https://t.co/QV6Yinlsbi #FoxNews,Jon Doe,SassyBandit6969,0,0,Culver City,gang_activity
1857469835682222397,Fri Nov 15 17:04:53 +0000 2024,"🚨TENNESSEE RESIDENTS ALERT 🚨 

PLEASE BE CAREFUL OUT THERE! 

Tennessee seeing surge in Tren de Aragua gang activity https://t.co/4LokmWQtXW #FoxNews",🌻Lisa Diaz🌻,lcdiaz001,0,3,"Tennessee, USA",gang_activity
1857465117677608998,Fri Nov 15 16:46:08 +0000 2024,"Tennessee seeing surge in Tren de Aragua gang activity | Fox News Video

THANKS KAMALA HARRIS, “BORDER CZAR.” https://t.co/VYQjN3aG5f",Carolina Umali,carolinamumali,0,0,United States,gang_activity
1857462748319461545,Fri Nov 15 16:36:43 +0000 2024,Tennessee seeing surge in Tren de Aragua gang activity https://t.co/HcOzOwQ4gl #FoxNews,jen,jen63pct,0,0,"Lakewood, WA",gang_activity
1857447967046688966,Fri Nov 15 15:37:59 +0000 2024,"@llanesluna The rise of Tren de Aragua gang activity is concerning, but it's reassuring to see law enforcement agencies taking action.",Md Altamash Ayub التمش ایوب,Altamashayub1,0,0,earth,gang_activity
1857446848300020029,Fri Nov 15 15:33:32 +0000 2024,"Tennessee seeing surge in Tren de Aragua gang activity

Tennessee Bureau of Investigation Director David Rausch on the major cities in his state seeing an increase of activity from the violent Tennessee gang and what they are doing to combat this crisis. 

FOX NEWS. https://t.co/hdkwYkf8mI",Lister,llanesluna,0,3,Estados Unidos,gang_activity
1857441944349143435,Fri Nov 15 15:14:03 +0000 2024,Tennessee seeing surge in Tren de Aragua gang activity https://t.co/KtyfTzpzQN,Jewhadi™,JewhadiTM,1,4,"Austin, TX",gang_activity
1857428320238907525,Fri Nov 15 14:19:55 +0000 2024,"@libsoftiktok I live in TN and have not seen or heard of any gang activity. Still, Jan. 20th can't come soon enough.",Dr. Cassone,drcassone,0,1,"Columbia, TN",gang_activity
1857316999514161239,Fri Nov 15 06:57:34 +0000 2024,"@bellamadison22 @twittter79 @Fore_right81 @CalltoActivism There's some gang activity but nowhere near takeover.
Law firm was hired by those w/ ownership in the apt. 
Unfortunately, the owners and manager seem 2b scumbags who've lft the place almost unlivable, refuse to fix it, and are now using gangs as scapegoat
https://t.co/2wtLJbsaJ0",Audrey Ero,ChikDigsLngBall,0,0,"Dallas, TX",gang_activity
1857270920487768494,Fri Nov 15 03:54:28 +0000 2024,"gang activity* apparently* 

s/o god s/o everyone 🎬 1luh",Omg Lyle 💔,GodModeLyle,0,0,Mars ,gang_activity
1857247272301629700,Fri Nov 15 02:20:30 +0000 2024,@Cartel_Cal @ICEgov @GavinNewsom @RobBonta Criminal Cartel gang activity that's exactly the reason why Cartels and criminal alien gang activity has increased!,Coleman Moreing,ColemanMoreing,2,9,"Romoland, CA",gang_activity
1857220738375180383,Fri Nov 15 00:35:04 +0000 2024,"@ChicagosMayor @GovPritzker , you should make stealing cars illea...
You should make using a weapon in the commission of other crimes additional char.....
You should make robbing people illea...
Well, you could make gang activity illea....

Dang. Maybe it ain't the guns.",React Survival Adventure & Field Equipment,ReactSafe,0,1,"Garland, TX",gang_activity
1857202127824699872,Thu Nov 14 23:21:07 +0000 2024,"Anyone followed the murder trial out in Douglas County called “Sweet 16”? Judge Beau Mclain sentenced 2 defendants who were found guilty of agg assault, gang activity and criminal damage to property to 320 years. These 2 defendants were also charged with murder but found NG.",Casey Hendrix,k2thec007,0,0,"Atlanta, GA",gang_activity
1857183102029705456,Thu Nov 14 22:05:30 +0000 2024,Soooo buildaburrito hear this mess and was like… yup gang activity 😩 #ysltrial,Lavonne,Dee_Poetress28,2,4,Charlotte NC,gang_activity
1857161742457217335,Thu Nov 14 20:40:38 +0000 2024,"/20 The open-border policies of the Biden-Harris Administration have turned cities in Middle America, like Chicago, Illinois, into struggling border towns filled with criminal migrant gang activity and a never-ending need for more shelter, health care, and education.",America First Legal,America1stLegal,59,285,Washington DC,gang_activity
1857161711347757423,Thu Nov 14 20:40:31 +0000 2024,"/7 The criminal activity detailed in the Chicago Shelter Operations Situation Reports includes human trafficking, gang activity, gunfire, and various nuisances such as public defecation. https://t.co/xKe01LY2EW",America First Legal,America1stLegal,62,279,Washington DC,gang_activity
1857122949217779838,Thu Nov 14 18:06:29 +0000 2024,"@jimhubbard_Id @BehizyTweets As long as you reside within the city limits. Currently, almost 2% of the country's population is incarcerated, with 82 thousand arrests linked to gang activity over the last year or so. The current poverty rate in El Salvador is over 30%.

The Organization of American States",El Coyote,kbo_coyote,0,2,"Long Island, New York",gang_activity
1857120183808311692,Thu Nov 14 17:55:30 +0000 2024,"@pweiser Why does Phil Weiser ignore all this well funded, cash rich, impossible to miss Venezuelan gang activity?",UnitedStatesofStephen,USofStephen,1,12,"Centennial, CO",gang_activity
1857098747127161265,Thu Nov 14 16:30:19 +0000 2024,@TheMaineWire Wonder how much of that gun violence is relate to gang activity?,HaltnCatchFire,HaltnCatchFir3,0,2,USA,gang_activity
1857040401997213711,Thu Nov 14 12:38:28 +0000 2024,"""As early as August 2023, the Illinois governor’s office had received alerts about gang activity, human trafficking and gunshots at and nearby Chicago migrant shelters, according to internal emails obtained through [FOIA]"" https://t.co/9UTFRpA0AR",Illegal Alien Crimes,ImmigrantCrimes,57,103,USA,gang_activity
1857000531740266625,Thu Nov 14 10:00:02 +0000 2024,gang activity* apparently*,Omg Lyle 💔,GodModeLyle,0,0,Mars ,gang_activity
1856856443808280795,Thu Nov 14 00:27:29 +0000 2024,"omg this is gang activity*  apparently*  ? 🤣

song : 

thank you mama* - sizzla",Omg Lyle 💔,GodModeLyle,0,0,Mars ,gang_activity
1856843262025138462,Wed Nov 13 23:35:06 +0000 2024,@Thekeksociety So was gang activity. They hated GenX! 🐸,Don Johnson,DonJonsonThe2nd,0,0,United States,gang_activity
1856806936416604168,Wed Nov 13 21:10:46 +0000 2024,The only Gang activity I Support 💯💯,Lssassindark891,assassindark891,0,0,Philadelphia Pennsylvania,gang_activity
1856803152051454178,Wed Nov 13 20:55:43 +0000 2024,gang activity* apparently* ⚽,Omg Lyle 💔,GodModeLyle,0,0,Mars ,gang_activity
1856754336757383428,Wed Nov 13 17:41:45 +0000 2024,"Hamilton Police have carried out 17 search warrants today as part of a large scale multijurisdictional investigation. Project Churchill is focused on gang activity, firearms and drug trafficking throughout Southern Ontario. Many thanks to @PeelPolice @HaltonPolice @OPP",Hamilton Police,HamiltonPolice,16,144,Hamilton Ontario,gang_activity
1856748789111140855,Wed Nov 13 17:19:42 +0000 2024,"@itssamonline Absolutely shocking! This isn't just gang violence, it's a full-blown war zone. Kudos to @TorontoPolice for the swift action. Time for tougher laws on gun control and gang activity.",DesiCrossroads,DesiCrossroads,0,0,Toronto,gang_activity
1856738778510921866,Wed Nov 13 16:39:55 +0000 2024,Seee the problem with this shit is y is a blood nigga on the picture are we ever gonna stop promoting gang activity,top frass,fleezy_86ways,0,0,brooklyn,gang_activity
1856719935843504519,Wed Nov 13 15:25:03 +0000 2024,"@PFF_College This is impossible, it’s all about clicks, gang activity, and smoke with no sizzle in Boulder",D'brickashaw Nix,tadfuckinboyle,0,38,"Boulder, CO",gang_activity
1856673117868879982,Wed Nov 13 12:19:01 +0000 2024,"@sugabelly Adolescent boys are also much more susceptible to the adverse effects of poverty in their neighborhoods. They're more likely to join in on gang activity, drinking, gambling, or other vices if they're present. Because of segregation, this is especially true for boys of color.",Katherine,Katherine_Mel_B,0,0,Chicago,gang_activity
1856538725359960325,Wed Nov 13 03:24:59 +0000 2024,"Skoo aint even bout learning no mo its bout fights, skippin, and fake ass gang activity😂👎🏾",Nonchalant Jae,Editz_by_Jae,0,0,"Cleveland Heights, OH",gang_activity
1856530577043955914,Wed Nov 13 02:52:36 +0000 2024,"The gunfire incident is part of a broader context of escalating violence and gang activity in Haiti. Gangs have gained significant power, leading to widespread unrest and attacks #travelnews
https://t.co/qzpREc8QJi",The Steven Wick Blog,stephenwick3,0,0,"Hollywood, CA",gang_activity
1856521770578190401,Wed Nov 13 02:17:37 +0000 2024,@Dreadful4Tymes Avery I’m a homicide detective and I also do vice work too and I think I should warn you that promoting gang activity might get you arrested and locked up by the police in your area so be careful with what you’re doing,MovieGuy,MovieGuy355,0,0,United States,gang_activity
