tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1857567417238749218,Fri Nov 15 23:32:38 +0000 2024,"@TheDogeDept In Taylors case, it is a hate crime and the harshest punishment is demanded.",Sean Tannehill,saltybollz,0,2,Oregon,hate_crime
1857566966271324572,Fri Nov 15 23:30:51 +0000 2024,"@FBILosAngeles @ABC @blackclouding @TargetedNLiedOn @MsBless2013 @BetTzedek @JasherJ2023 @CIA @BetTzedek I thought u rpsnt victims of discrimination who r experiencing hate crime targeting.I'm a S/F living in city that targeted me Organized community stalking im surrounded by Domestic terrorists stalking my hm 24/7, follow me everywhere I go,hm/car invade,hack,theres more",AokiLee*,Pumpkin6672001,1,6,"Los Angeles, CA",hate_crime
1857566818694484409,Fri Nov 15 23:30:16 +0000 2024,Long Island detective charged with hate crime for allegedly attacking cell phone technician https://t.co/cqU1rOjNOj https://t.co/B8Mdgmq03j,Eyewitness News,ABC7NY,3,3,New York City,hate_crime
1857565932828119174,Fri Nov 15 23:26:44 +0000 2024,"@Cthulhu497950 @NonCompMenthol @RadioGenoa I’m sorry to have to inform you but you have just committed a hate crime. 
I’m from the HPD Hate Police Department. In the uk Can I take your details?",Sean ☦️,se14738_sean,0,0,"New York, USA",hate_crime
1857564479220822045,Fri Nov 15 23:20:58 +0000 2024,@NancyGrace Salisbury University charged with hate crime man is pedophile boys advertised 16 yr old.,NedlaJames,marrobeve,0,0,"Rockville, MD",hate_crime
1857564420274270369,Fri Nov 15 23:20:44 +0000 2024,"A genocidal savagely racist Hate Crime posted openly on social media to the entire planet. As she laughs at the murders of literally tens of thousands of innocent men, women, children &amp; babies who are being tortured &amp; starved. Arrest her. #NiaAnderson @Ascensionorg #Michigan LMAO",Free Palestine,domainawareness,11,29,USA,hate_crime
1857562017244262858,Fri Nov 15 23:11:11 +0000 2024,"@cctvidiots Charges for:

-Reckless driving 
-Destruction of public property
-Hate crime 
-Nation wide recognition as a complete asshole

Also, the lady doth protest too much, methinks.  Check the phone for a grinder account.",PunkMC,Punk_MC,0,0,Los Angeles,hate_crime
1857559271384428555,Fri Nov 15 23:00:16 +0000 2024,@SuppressedNws It’s like people forget he has to go thru the constitution and scotus first. Even if he gets 7 out of 9 judges he still has to prove that going directly after Arabic Muslim Palestinians and pro Palestinians isn’t targeted harassment and illegal under hate crime laws.,Tasha s 🍉,PcflWtrs,0,0,Earth,hate_crime
1857559219848798594,Fri Nov 15 23:00:04 +0000 2024,"Colorado trio indicted for allegedly staging hate crime against Black mayoral candidate
https://t.co/603yRyoUfV",KOKH FOX 25,OKCFOX,0,0,"Oklahoma City, OK",hate_crime
1857559060897477000,Fri Nov 15 22:59:26 +0000 2024,"Shout out to Whoopi, kicking fake hate crime SZN off.  Honestly, not her best work.  Easily disproven.  You wack job lefties are gonna have to dig deep this time around. https://t.co/CVKJGJELOL",Long Beach Mike,longbeachmike73,0,6,"Surf City, USA",hate_crime
1857558245755216084,Fri Nov 15 22:56:12 +0000 2024,"'Prosecutors Indict Trio For Staging Hate Crime To Elect Left-Wing Colorado Mayor' Black Democrat Yemi Mobolade and white Republican were in a dead heat for Mayor of Colorado Springs in the polls until Derrick Bernard, Ashley Blackcloud, and Deanna West staged a hate crime in",WhatHappened.com,JohnBla27209136,0,0,"Salem, Illinois",hate_crime
1857557102648258754,Fri Nov 15 22:51:39 +0000 2024,Person taken into custody then released as part of B.C. hate crime probe https://t.co/AL1uFq5Q56,Abbotsford News,AbbyNews,0,0,Abbotsford,hate_crime
1857556796191154518,Fri Nov 15 22:50:26 +0000 2024,Blocking me because you got a gf is a hate crime,Abigail,bbygail_,0,1,"Las Vegas, NV",hate_crime
1857556752306413791,Fri Nov 15 22:50:16 +0000 2024,@superfreakyjosh @PopFlopHQ ion think its a hate crime fr cs the other boy zesty too😭😭😭 they prolly got beef ??,riahhhhh🫧,ac1dprincessss,0,11,the trap,hate_crime
1857556430095790227,Fri Nov 15 22:48:59 +0000 2024,"Our @abc7jessica has the latest on a hate crime case in Orange County coming up, 3pm @ABC7  with @abc7coleen and @abc7phillip in for @abc7ellen",Danny Romero,abc7danny,1,0,Los Angeles,hate_crime
1857555224203800598,Fri Nov 15 22:44:11 +0000 2024,"@JDVance 🤨 Wouldn’t this type of rhetoric be, what the left would consider, “a hate crime” against all Christians?",Squid Ink,SquidDidlyDoDah,1,1,United States,hate_crime
1857555108617126320,Fri Nov 15 22:43:44 +0000 2024,@catturd2 Stop spreading your hate crime agenda!  America has spoken!,Tastefully Olive,OlioTastefully,0,0,"Dallas, TX",hate_crime
1857554967755669701,Fri Nov 15 22:43:10 +0000 2024,@JebraFaushay Should be held for a hate crime intent,Tastefully Olive,OlioTastefully,0,0,"Dallas, TX",hate_crime
