tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1856676934995890509,Wed Nov 13 12:34:11 +0000 2024,🚨BREAKING🚨 Grandmother and Pregnant Granddaughter Murdered Home Invasion... https://t.co/R9JgnSBX1U via @YouTube https://t.co/c6Oool4Mux,Bullhorn Betty,americanlaw411,0,1,"Bradenton, FL",home_invasion
1856672497988739085,Wed Nov 13 12:16:33 +0000 2024,@SSN_Alabama It was a Home Invasion,Jim Mammina,jmammina,0,0,"Hayden, ID",home_invasion
1856661241030132092,Wed Nov 13 11:31:49 +0000 2024,"If you're doing a home invasion in Florida or Texas, I already assume you're insane.

https://t.co/q3gupT1b9s",Passably Affable,tbrusletten,0,0,"Tarpon Springs, FL",home_invasion
1856626341254164842,Wed Nov 13 09:13:08 +0000 2024,@va_lidate I like music about home invasion,Yung IDWFTB101,yunghouseparty,0,2,"New Orleans, LA",home_invasion
1856626123544625425,Wed Nov 13 09:12:16 +0000 2024,"@csalazar3084 @StealthMedical1 @All_Source_News I’m not trying to scare you, but it’s not long before you or your neighbor will be on the receiving end of a home invasion.  That’s where this country’s going.  Crime is so going unreported and it’s bad.  If you’re not going to the gun range every month or two, then do so at your",Bingo,Bingo8712,0,1,United States,home_invasion
1856571202548183193,Wed Nov 13 05:34:02 +0000 2024,Mobile PD investigating home invasion robbery on Gibson Street https://t.co/pil2vtKBZC,FOX10News | WALA,FOX10News,0,0,"Mobile, AL",home_invasion
1856551723520929876,Wed Nov 13 04:16:38 +0000 2024,🚨BREAKING🚨 Grandmother and Pregnant Granddaughter Murdered Home Invasion... https://t.co/XY0auo1Bpy via @YouTube,Brenda Brown,BrendaB18492781,0,0,"Bellingham, WA",home_invasion
1856550304717910355,Wed Nov 13 04:11:00 +0000 2024,".40 cal under the pillow, dream of home invasion
Shower in shell casings, faked a vacation
Squat in basements, silently waitin'
Open window, loudly baitin'
Hoping in the dark, patient
Aimin' when they break in
Broke them slow motion, son blazin'
   - billy woods https://t.co/Cf47L0rZLn",wordsofjoods,tweet4TVonly,0,1,"Toronto, Canada",home_invasion
1856544862738231789,Wed Nov 13 03:49:22 +0000 2024,@GunloverClub1 Might be a bit nicer on ear drums indoors in a home invasion scenario..,denonccs,denonccs,0,1,::1,home_invasion
1856542276622922137,Wed Nov 13 03:39:06 +0000 2024,"Grandmother, pregnant granddaughter killed in Vero Beach home invasion: IRCSO https://t.co/kescLs7zSq",Luli Ortiz,LuliOrtizCBS12,0,0,"West Palm Beach, FL",home_invasion
1856533695966204095,Wed Nov 13 03:05:00 +0000 2024,#NewLondon man faces 5 years in Griswold home invasion case. https://t.co/VbIuh3rY4F https://t.co/BpZKy3YQ6n,The Day,thedayct,0,1,"New London, CT",home_invasion
1856527776469090684,Wed Nov 13 02:41:29 +0000 2024,@AnthonyCumia gang home invasion,cowboy,brigtob,0,0,Texas,home_invasion
1856527468301005129,Wed Nov 13 02:40:15 +0000 2024,"Also if they chased him home. That's not home invasion lol I can almost guarantee the Maga fuck brought this. They always are pushing the wrong buttons. And we'll. F, around and find out. Just sucks that he probably is the dude to shoot a launcher close range in a suburbs.",cronic the shrubber (they/them)🇨🇦🌿🔥💨,cronicdreadlock,0,0,Canada,home_invasion
1856527105980285000,Wed Nov 13 02:38:49 +0000 2024,Do you know this person? Man wanted for questioning regarding armed home invasion/robbery on Shrewsbury Rd. https://t.co/2NYmyDSIpN,K105 Radio,k105radio,0,0,"Leitchfield, KY",home_invasion
1856506110640824573,Wed Nov 13 01:15:23 +0000 2024,@toxiklovehoes Bro gonna get a home invasion,💣BoReD💣,JoseGar39022724,0,2,"San Antonio, TX",home_invasion
