tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1733078684637024616,Fri Dec 08 10:58:52 +0000 2023,"@avgusergirl @megourd1967 @BillMelugin_ Don’t act surprised when the United States is once again attacked like we were on 9-11!!! The men crossing aren’t being vetted and hundreds of thousands have criminal records &amp; convictions for assault, rape, murder, child molestation, terrorist acts, illegal weapons &amp; explosives.",Sharidan Skinner,SharidanSkinner,0,0,,illegal_weapons
1732803794143224056,Thu Dec 07 16:46:33 +0000 2023,@SenSchumer But you do nothing about the illegal weapons in cities like Chicago and Detroit hand guns and gangs,becksavage,becksavage2,0,0,,illegal_weapons
1732118997301330064,Tue Dec 05 19:25:24 +0000 2023,"Over the weekend, officers were on routine patrol when they made a proactive stop on a suspicious vehicle. Their investigation led to the arrest of a convicted felon in possession of illegal weapons and narcotics. #WhileYouWereSleeping #ProactivePolicing #SafeAndSecure https://t.co/JvHo97KNIl",Torrance Police,TorrancePD,5,57,"Torrance, Ca",illegal_weapons
1730460726480048163,Fri Dec 01 05:36:02 +0000 2023,@fred_guttenberg @GavinNewsom @GovRonDeSantis Look at Chicago. The only thing that stops bad guy with guns is good guys with guns. In California as a border state you have a lot of illegal weapons. You don’t want people to be unarmed look at what’s going on now it will only get worse … wake up.,Lydia DeMent REALTOR,SimiValleyAgent,0,0,"Westlake Village, CA",illegal_weapons
1729444842147655986,Tue Nov 28 10:19:16 +0000 2023,Why is @elonmusk promoting illegal weapons in Canada? Imagine a black person did this @JustinTrudeau would have us locked up. But the white rich men get to do what they want. Even promote illegal weapons,Brampton Anglican 🇺🇦 🏳️‍⚧️ 🏳️‍🌈 🇧🇧✝️,AnglicanJayCAN,0,1,"Brampton, Ontario",illegal_weapons
1728442087366901923,Sat Nov 25 15:54:41 +0000 2023,"@TDRColorado Aurora Colo. Shootings at Southlands mall and gangs of children running around with illegal weapons. 

But holding a butane lighter at ready while you pump is cool to. Spray the perps then light’em up.",🇺🇸 Ghost of VanGogh 🥋🇺🇸,ghostofvangogh1,0,1,"Aurora, Colorado",illegal_weapons
1724243190960767299,Tue Nov 14 01:49:46 +0000 2023,"Organize to END this Third World War with those Religious and Political leadership +Human Rights and Teachers Unions whom are Targeted to be killed by Cave Creek, Arizona Spy Weapon Business and their affiliate 400Million sadists who buy and use the illegal weapons on “Targets.” https://t.co/AxekNDXyMr",MarthaAlexanderThompson,lois_martha,0,1,"Clackamas, Oregon, 97015",illegal_weapons
1718772527420354828,Sun Oct 29 23:31:18 +0000 2023,@EpochSoCal No I really don’t think so.  It is not law abiding citizens who are killing innocent citizens.  As long as illegal weapons are being sold on the streets the killings will continue by the thugs regardless of the LAW!,Ellie Angelo,EllieAngelo4,0,0,,illegal_weapons
1717978325459623996,Fri Oct 27 18:55:25 +0000 2023,"@Roshan_Rinaldi Look, even if we take legally purchased guns away from people they can still buy one illegally off the street. There aren't many ways to stop illegal weapons trading. Could be like Australia and clean house? If I had the answers I wouldn't be typing this reply. It's a mess🙏🏻",Ed Mc Donald,Nittany1982,1,6,"Orlando, FL",illegal_weapons
1717525376157565201,Thu Oct 26 12:55:34 +0000 2023,"@DynamoNestico @DaveJohnson8585 @BurtMaclin_FBI @Timcast @krassenstein 99% of those mass shootikgs are in inner cities with illegally obtained handguns, uzis and other illegal weapons. But let’s not talk about those.",Dr. Catfish Charlie MD JD ™️ Expert Chicken Farmer,Chuckles152,0,1,Catholic- Jesus Christ is King,illegal_weapons
1714661077626016050,Wed Oct 18 15:13:52 +0000 2023,Sounds more like loading up to use illegal weapons and more White Phosphorus to use on the Palestinians that have survived the thousands of bombs that Israel have thrown at them in the last 10 days!!! FOH!!!,Crashout Chris 🇭🇳🖤,IamCV9Five,0,0,🌷 MI,illegal_weapons
1713683994947248413,Sun Oct 15 22:31:17 +0000 2023,"@Logically_JC @PeasantTwittler More than I’d like John. Finding $93M from Ru to Hamas n cryptocurrency. Hamas thanking Putin. No sympathy from him for October 7. Modernization of jets to Iran via Putin—his ongoing use of illegal weapons in Syria
His propaganda on X
Gym Jordan threatens revenge GOP against him",D.mac,worldflood1,3,11,Somewhere in USA whats left,illegal_weapons
1713590196212568280,Sun Oct 15 16:18:34 +0000 2023,@greg_price11 Maybe you should be so strong when prosecuting crimes with ILLEGAL weapons.,ETR,striegel1,0,0,,illegal_weapons
1712525489015767552,Thu Oct 12 17:47:48 +0000 2023,"@JonathanChames @RT_com Why is Israel using illegal weapons?
https://t.co/AuQgvvVyW0",ShockwaveQ,q_shockwave,0,0,"Fayetteville, NC",illegal_weapons
