tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1171894855800369156,Wed Sep 11 21:14:41 +0000 2019,"MISSING PERSON CASE TURNS INTO HOMICIDE INVESTIGATION: State police have been using a search warrant along William Morse’s property in Sugarloaf all morning. He went missing last year. Moments ago, state police told  @WNEP his case is now considered to be criminal homicide. https://t.co/ad1DyNQo3v",Carolyn Blackburne,cblackburne,0,6,New York City,missing_person_case
1165041588441100290,Fri Aug 23 23:22:14 +0000 2019,"Bastrop County Sheriff Maurice Cook said Friday that the jaw bone belonged to Johnathan Lee Hamilton, a missing person from Houston.

Hamilton was last seen in Bastrop in 2015, which is why his missing person case was filed in Bastrop County. He was 27 when he went missing.",Luis de Leon,LuisdeLeon15,1,2,"Wilmington, North Carolina",missing_person_case
1149130032574607361,Thu Jul 11 01:35:24 +0000 2019,The missing person case and murder of Nancy Moyer from Washington state has been solved hide-and-seek podcast https://t.co/ZHX0jMuhPK,Dr. Maurice Godwin,drmgodwin,3,29,Fayetteville NC,missing_person_case
1148726169178726400,Tue Jul 09 22:50:35 +0000 2019,"BREAKING: Burleson County officials arrested a 36-year-old Caldwell man on a murder charge in connection to a missing person case turned murder investigation.
https://t.co/w0zfewz5uE",KAGS News,KAGSnews,0,0,Bryan/College Station. TX,missing_person_case
1144273937208991744,Thu Jun 27 15:59:00 +0000 2019,Team coverage starts now on @KSL5TV  as we follow the latest developments in the #MacKenzieLueck missing person case,Ladd Egan,laddegan,1,3,"Salt Lake City, UT",missing_person_case
1144221628781355010,Thu Jun 27 12:31:09 +0000 2019,"NEW: ""Victim blaming and shaming is inappropriate and unacceptable""

Utah Domestic Violence Coalition releases statement about #MacKenzieLueck missing person case. ""Our focus should solely be on the safety and wellbeing of Mackenzie Lueck."" @KSL5TV @KSLcom @kslnewsradio @UtahDv https://t.co/yOZtBQcxOq",Ladd Egan,laddegan,35,106,"Salt Lake City, UT",missing_person_case
1135216693020696576,Sun Jun 02 16:08:45 +0000 2019,"JUST IN: #NewCanaan police arrested two in connection to the missing person case of Jennifer Dulos. 

Police arrested Dulos’ estranged husband, Fotis Dulos, 51, of Farmington, and his girlfriend, Michelle Troconis, 44, of Farmington.

More details —&gt; https://t.co/kbjHofYrb5 https://t.co/gbWwQlxn7F",Carolina Cruz,carocruznews,6,9,"Kansas City, MO",missing_person_case
1135210474197397504,Sun Jun 02 15:44:02 +0000 2019,BREAKING: The husband of Jennifer Dulos (Fotis Dulos) and his girlfriend (Michelle Troconis) are charged with hindering the prosecution and tampering with evidence in missing person case/criminal investigation #missingperson #JenniferDulos https://t.co/tl9Aqhgser,Neil Vigdor,gettinviggy,6,6,"New York, NY",missing_person_case
1134003619274010625,Thu May 30 07:48:26 +0000 2019,"Sacramento County authorities investigate baby’s death, father’s missing person case https://t.co/gg8RZI11XH",Mitchell neal,Mitchellneal12,0,0,"Sacramento, CA",missing_person_case
1132051220242280450,Fri May 24 22:30:18 +0000 2019,Will be talking to @MarkHaslett about the latest searches in the Carey Mae Parker missing person case on @KETRradio's ATC at 5:44 p.m. and 6:44 p.m. local time. Listen in northeast Texas at 88.9 FM or online at https://t.co/7Wa8eCv5kf.  https://t.co/EUVR5YuyyF,George Hale,georgehale,2,5,geohale@iu.edu,missing_person_case
