tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1857755707883302915,Sat Nov 16 12:00:50 +0000 2024,@megynkelly It’s called money laundering……,Kevintg 🇺🇸⛳️🦞,Ktjg1971,0,0,"Massachusetts, USA",money_laundering
1857755634105487524,Sat Nov 16 12:00:33 +0000 2024,@realdogenews We all know this money don't go to this crazy shit that they say it's four. All it is is basically money laundering right back into their pockets. Absolute disgusting human beings all of them.,Michael Kimball #MAGA,MSKimball20,0,0,"Lynn Haven, FL",money_laundering
1857755619949748318,Sat Nov 16 12:00:29 +0000 2024,@megynkelly Money laundering?,Jack Worsley,realMediaX,0,0,"Baltimore, MD",money_laundering
1857755615419945462,Sat Nov 16 12:00:28 +0000 2024,@FatEmperor Ukraine is a money laundering operation its clear to see and our governments are complicit,jamie,jamie68851282,0,0,earth,money_laundering
1857755333826937126,Sat Nov 16 11:59:21 +0000 2024,@SecretaryPete Great money laundering list! Literally nothing says “done” lmao everything is “ongoing”? YOU ARE JOKE SIR,Nanette M. Janeiro,nanettemg05,0,0,"Miami, FL",money_laundering
1857754179646730274,Sat Nov 16 11:54:46 +0000 2024,@SecretaryPete Wait until all the money laundering is exposed.,TexusVeteran11B 🇺🇸,TexusVeteran11B,0,0,"Texas, USA",money_laundering
1857753788464996638,Sat Nov 16 11:53:13 +0000 2024,"@TRUMP_ARMY_ More ""money laundering""!",MAGA9241,maga9241,1,0,"New Jersey, USA",money_laundering
1857752946475155955,Sat Nov 16 11:49:52 +0000 2024,@thejackhopkins So Blinken will be investigated for democrat money laundering.. that's all Ukraine is a Democrat money laundering operation,George Smith,GLSnj,0,0,USA,money_laundering
1857752584846532625,Sat Nov 16 11:48:26 +0000 2024,"govt money laundering has been conducted by govt employees and govt contractors for decades. 
That ends with DOGE, American Taxpayers are fedup with this BS",Empire of Lies,Gray_Wolf_45,1,3,"Texas, USA",money_laundering
1857752253559386339,Sat Nov 16 11:47:07 +0000 2024,No more MONEY LAUNDERING with taxpayer dollars for the COMMUNIST DEMOCRAT PARTY and LITTLE BOY ZELENSKY!,||King_Kobe||,IIKing_KobeII,0,0,"Puerto Rico, USA",money_laundering
1857752177499853278,Sat Nov 16 11:46:49 +0000 2024,"@ManiamAkash @RpsAgainstTrump So funny watching the left fear losing money taxpayers money, money laundering through Ukraine, time to cut government in half,time to stop foreign aid,time to put the American citizens first,time to take care of the United States!
No more funding Ukraine pensions!",ColdHardFacts,Leecald63773367,0,0,Tx,money_laundering
1857752035027784047,Sat Nov 16 11:46:15 +0000 2024,"@nypost No more MONEY LAUNDERING with taxpayers, dollars for the COMMUNIST DEMOCRAT PARTY and LITTLE BOY ZELENSKY!",||King_Kobe||,IIKing_KobeII,0,0,"Puerto Rico, USA",money_laundering
1857752027603902820,Sat Nov 16 11:46:13 +0000 2024,@POTUS You and your whole family are crooks and should be prosecuted for money laundering and treason. @Potus,Cynthia Stiles,cynt20584,0,0,"Florida, USA",money_laundering
1857750858173214898,Sat Nov 16 11:41:34 +0000 2024,@AinsworthKeith @TRUMP_ARMY_ Money laundering for Jewish oligarchs,PVG (Patriots Vs. Globalists),PVGLeader,1,0,United States,money_laundering
