tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1727443437342052611,Wed Nov 22 21:46:24 +0000 2023,"#Breaking US Park Police officer shot in Northwest DC: Sources
@wusa9 https://t.co/5pzGQleR0O",𝙆𝙖𝙩𝙞𝙚 𝙇𝙪𝙨𝙨𝙤,KatieLusso,0,1,"Washington, DC",police_officer_shot
1727419491032912374,Wed Nov 22 20:11:15 +0000 2023,Park Police officer shot in Washington DC.,Cody Alcorn,CodyAlcorn,0,6,"Atlanta, GA",police_officer_shot
1725701307715997698,Sat Nov 18 02:23:48 +0000 2023,"@Liz_Cheney #ns. Hey Liz Cheney, great video you show today. Please show the video where the police officer shot and killed a woman standing on the other side of the door in the Capitol building. Look at it close. Looked a lot like man slaughter.",.,NeilSteifle,0,0,"Greenwood, SC",police_officer_shot
1725189639256904182,Thu Nov 16 16:30:37 +0000 2023,"Dallas police officer shot in shootout with capital murder suspect

https://t.co/aIJtCPOaJl",Gary Mayfield,GaryMay78642070,0,0,,police_officer_shot
1723157329753882919,Sat Nov 11 01:54:56 +0000 2023,"POLICE OFFICER SHOT /Westmoreland County

https://t.co/kzrEt0KTPS",Ed Thompson,ThompsonFoto12,2,2,"Pittsburgh, PA",police_officer_shot
1723150467243376985,Sat Nov 11 01:27:40 +0000 2023,"Breaking News!
Monroeville Police officer shot following reports of a chase.
LifeFlight to Presbyterian Hospital.
Early reports stable condition.
@KDKARadio",Marty Griffin,MartyGriffinKD,6,39,"Pittsburgh, PA",police_officer_shot
1722879830319091898,Fri Nov 10 07:32:15 +0000 2023,"If you hoped to learn why a Spirit Lake Police officer shot at 67-year-old S.A. Floyd, why officers were called to her apartment or exactly how Floyd died…

I have bad news for you",Adam Schwager,schwagerTV,1,3,"Spokane, WA",police_officer_shot
1721622315056722353,Mon Nov 06 20:15:20 +0000 2023,"Chicago Police Shoot Out with Suspect Reported to be Deceased .... 7316 S Dante: reports of a Chicago Police officer shot, the offender is shot as well and in custody, a weapon has been recovered, the officer is at University of Chicago Hospital ...
12:45 PM · Nov 6, 2023 https://t.co/jN4e9A5LQ5",SubX.News,SubxNews,35,80,Chicago,police_officer_shot
1711740064890282469,Tue Oct 10 13:46:48 +0000 2023,Poloncarz the fool is LYING as usual. Ther was NO POLICE OFFICER SHOT during the Jan. 6 PROTEST. You are a LYING PIECE OF TRASH marky.,Dad10265,dad10265,0,0,Sh*thole ny,police_officer_shot
1703789687742308816,Mon Sep 18 15:14:51 +0000 2023,"The Riot was staged by Pilosi. The Committee knew, about the set up. The Woman Killed was trying to stop People from Rioting. The Black Capitol Police officer shot her in the Back and she had no Weapon. Trump has Presidential Immunity. A Judge already said, he can’t be charged.",Wyatt Grabow,wyattsacher07,0,0,,police_officer_shot
