tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1857734117808337125,Sat Nov 16 10:35:03 +0000 2024,"#RT @anita_dickason

Sentinels of the Night

Messengers of Death! They ride the night wind and hear the cries of the dead. To save the living, can they stop a serial killer?

https://t.co/XXp9bkt8as

#SerialKillerThriller
#KidnappingThrillers
#ParanormalSuspense
#BookBoost
#TBR https://t.co/C67rX4qy05",Carol Marrs Phipps,Car01am,1,0,US,serial_killer
1857730027800113571,Sat Nov 16 10:18:48 +0000 2024,"@Tectone It's not my favorite, but I won a Cinnamoroll plush with a free play off Toreba 😎 Maybe I'm secretly a serial killer, who can say?",Sleepy💮Moogle,SoSleepyMoogle,0,0,"Alberta, Canada",serial_killer
1857725835773620421,Sat Nov 16 10:02:08 +0000 2024,@wumi91 @BrianEntin Dumb whore king con was a serial killer and was let go many times,Ericka Wissick,moxlino,0,0,"Poughkeepsie, NY",serial_killer
1857709047656427572,Sat Nov 16 08:55:26 +0000 2024,"@akikoshikamouri Girl you look 👀 like a pretty serial killer. 
Evil 👿 #AF",Ronald Ray Strickland,Number1Producer,0,0,"Atlanta, Ga.",serial_killer
1857706613483688385,Sat Nov 16 08:45:45 +0000 2024,"Good, you should be. You serial killer",Joy Halgren,JoyHalgren,0,0,"International Falls, MN",serial_killer
1857705443155652729,Sat Nov 16 08:41:06 +0000 2024,@Behzod08 Qiziqde. Patrick Bateman filmda haqiqiy serial killer boʻladi va oʻsha paytdagi sotsium qanchalik maʼnosizligini koʻrsatadi. Hech qaysi tarafdan ijobiy personaj boʻlmasa ham negadir hozirgi odamlar unga taqlid qilgisi keladi🤔,Sanjarbek,Janoff_14,0,1,"San Francisco, CA",serial_killer
1857703654582563159,Sat Nov 16 08:34:00 +0000 2024,"Not sure if this man is crazy and a serial killer or not but I guess I'll find out tomorrow, wish me luck gang",lifetime movie network,kikikikimarie,0,0,"Los Angeles, CA",serial_killer
1857703125609562619,Sat Nov 16 08:31:54 +0000 2024,"@TheRichFromCali @byronlacroix NO. Wrong on all accounts! He helped create C19 just like he did AIDS &amp; killed Millions. By far the most prolific serial killer of all time &amp; he WILL be going to prison w death a sentence if we’re lucky,
STOP WATCHING MSM! 🤦‍♂️",JonnysBak,JonnysBak,0,0,"Ohio, USA",serial_killer
1857702892645528003,Sat Nov 16 08:30:58 +0000 2024,American Dad - Francine's a Serial Killer https://t.co/rm6RLP90nq via @YouTube,Ire Blossoms,IreBlossoms,0,0,canada,serial_killer
1857697215935918254,Sat Nov 16 08:08:25 +0000 2024,"Matt Walsh, the serial killer of fun.",The Bloody Nerve,TheBloodyNerve,0,0,"Nashville, TN",serial_killer
1857687824755028077,Sat Nov 16 07:31:06 +0000 2024,@Brianna36256510 @TheRichFromCali Leftists promoted a convicted kid-diddler and psychopathic serial killer (John Wayne Gacy) to Democrat precinct captain and gave a Kool-Aid drinking mass murdering cultist (Jim Jones) a Humanitarian Award.  Long history of loving psychopath deranged  killers. https://t.co/7n0Z07TzTy,Truth Hawkins,SpkrFourTheDead,0,0,"California, USA",serial_killer
1857685732183113868,Sat Nov 16 07:22:47 +0000 2024,@cliftonaduncan @DudespostingWs A gay serial killer.,Bijan Daei,bdaei,0,0,"Vancouver, British Columbia",serial_killer
1857681679726375243,Sat Nov 16 07:06:41 +0000 2024,"@joncoopertweets More like a serial killer, but he's nothing but a crazy perv.",Guanabe,Guanabe19,0,0,United States,serial_killer
1857680001623273612,Sat Nov 16 07:00:01 +0000 2024,"'Dead End', Book 2 in 'The Kate Brody Crime Mystery Series' is out now!📚🔥🕵️🔍
https://t.co/Y91UrE4e3P
LAPD Detective, Kate Brody, her partner, Nick Kravchik, and FBI agent, Brandon Summers, are assigned to catch a serial killer nicknamed 'The Horned Serpent'.

@LouiseVetroff https://t.co/1pVAFraSRB",J.G. MacLeod,jgmacleodauthor,3,6,"Ontario, Canada",serial_killer
1857679207511503131,Sat Nov 16 06:56:51 +0000 2024,@angelkized this show is so bonkers that that could mean anything. intimate like boning? intimate like they have a heart to heart? like they get trapped in a supply closet? like Brad ends up doing serial killer things to Bobby?,julie 🧯 hose maintenance,xylodemon,0,0,hotel california,serial_killer
1857677876167913579,Sat Nov 16 06:51:34 +0000 2024,@WB_Games_UK Noob 11. He looks like a serial killer.,James Grant⭕️Follower of The Wyatt Sick6,James_Grant1990,0,0,Texas,serial_killer
1857674822970433874,Sat Nov 16 06:39:26 +0000 2024,"@cerflvvs @TamoLandon Not me, they make me look like serial killer",thorium🇻🇦,gavindwain10,0,2,"Washington, USA",serial_killer
1857666508542914919,Sat Nov 16 06:06:24 +0000 2024,@davenewworld_2 Lock that serial killer up!,deborah zika,rockergrldz,0,0,"St Paul, MN",serial_killer
1857665003354017949,Sat Nov 16 06:00:25 +0000 2024,@Kawhidagoat1 @ecko_000 @WadePlem Mate he still fought him and tainted his legacy why you giving him any respect it’s like respecting a serial killer for quickly killing someone,DaBubby,DaBubby_,0,0,"Mississauga, Ontario",serial_killer
1857663899593543959,Sat Nov 16 05:56:02 +0000 2024,@DudespostingWs That's a serial killer psychopath for sure ...,Catalin Pop,PopCatalin,0,0,Earth,serial_killer
1857661477131288783,Sat Nov 16 05:46:24 +0000 2024,@GeneralHillier Didn't you vote for serial killer Col Russell Williams at the same time Ottawa Police served a search warrant at his residence for the murders of 2 CAF members? https://t.co/WSWoubmRDG,Doug Ford Hates Taylor Swift,LMenopause62450,0,0,"Toronto, Ontario",serial_killer
1857660696156102793,Sat Nov 16 05:43:18 +0000 2024,"Oh course he says that. Wasn't he the one who gave us Fauci the serial killer? Wasn't he the ""Health Czar?"" He must've made millions from big Pharma😉🤬",Michael Montalto,MichaelMontalt2,0,0,"East Brunswick, NJ",serial_killer
1857660139144106413,Sat Nov 16 05:41:05 +0000 2024,@ChiliLimeQueso Same and like the fear I have of a horror movie serial killer,Temu Republican,Ash_Lestrange,0,0,"Inwood, NY",serial_killer
1857659959049060413,Sat Nov 16 05:40:22 +0000 2024,"Not to defend this serial killer On Here but if y’all are washing your chicken before you cook it, you don’t actually know how to cook.",A²,ayyysquared,0,5,"Birmingham, AL",serial_killer
1857659434669060249,Sat Nov 16 05:38:17 +0000 2024,@CollinRugg He is definitely not a serial killer. He is awful at covering up evidence.  I wonder if he was drunk or something.,Annmarie Emmons,InfoSecChic,0,0,"California, USA",serial_killer
1857659007327949297,Sat Nov 16 05:36:35 +0000 2024,@christianlexus @DefiyantlyFree @mayemusk By the way you look like white trash serial killer..bring it my way not at the world or the Musk you pitiful excuse of a human.,Rebecka Slater,SlaterSla51127,0,0,"Indiana, USA",serial_killer
1857655919200350217,Sat Nov 16 05:24:19 +0000 2024,nigga fought a potential serial killer his first fight and wonder why he got that dog in him,mya 🤍,lulfinesserr,3,8,"Atlanta, GA",serial_killer
1857654284407501296,Sat Nov 16 05:17:49 +0000 2024,We are lucky Mike didn’t decide to be a serial killer because I feel like there was a fork in the road and he chose boxing.,WrexhamFCBoston,WrexhamFCBoston,0,1,"Massachusetts, USA",serial_killer
1857652806607409275,Sat Nov 16 05:11:57 +0000 2024,Netflix is not meant for live streaming. Just stick to serial killer docs,ThiccPicks,Thicc_Picks,0,0,Canada,serial_killer
1857652737468674250,Sat Nov 16 05:11:40 +0000 2024,@12News I'm convinced he's a serial killer just wanting to see people die.,tiredazfam💙💖,phoenixladyX,0,3,"Arizona, USA",serial_killer
1857652133849395218,Sat Nov 16 05:09:16 +0000 2024,Kudos to Jake Paul even getting in the same ring with a SERIAL KILLER,LIVELIFERICH (^_^),Chris_Aint_Shit,0,0,"Dallas, TX",serial_killer
1857651692222951935,Sat Nov 16 05:07:31 +0000 2024,Rooting for Tyson to knock out Paul the same way I'd root for a serial killer to murder a slightly more evil serial killer,Dan Park 박정훈,damnparka,0,10,"Los Angeles, CA",serial_killer
1857651054869164090,Sat Nov 16 05:04:59 +0000 2024,"Kate Brody, Book 2, is HERE!📚🔥🕵️🔍
https://t.co/ppXgGEichm
Can Kate catch the infamous serial killer, 'The Horned Serpent', before he kills again?

The stakes are high &amp; time is running out!

$5.99 on Amazon.

#NewRelease #CrimeThriller #MYSTERY #thrillerbooks #crime https://t.co/jLJZGtJujB",J.G. MacLeod,jgmacleodauthor,2,1,"Ontario, Canada",serial_killer
1857650563254726836,Sat Nov 16 05:03:02 +0000 2024,Tyson got that serial killer look going,Scott Billeck,ScottBilleck,0,4,"Winnipeg, MB",serial_killer
1857650509005365355,Sat Nov 16 05:02:49 +0000 2024,"A dog trainer once saw the way Jack acted around me and he was like “dude that ain’t normal, your dog was a serial killer in his past life the way he is obsessed with you” and I think he was right",Karlie - TheAnimeAthlete,TheAnimeAthlete,0,0,"St Paul, MN",serial_killer
