tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
1857657929442414786,Sat Nov 16 05:32:18 +0000 2024,"Stabbing victim, 65-year-old Bernie DeBoer wanted to share his story with the Santa Maria Community after waking up from a coma. https://t.co/GKtG4RM4SP",Christina Cochrell Rodriguez,christinajrodtv,0,0,Santa Barbara County,stabbing_victim
1857647573659508927,Sat Nov 16 04:51:09 +0000 2024,This stabbing victim in St. Lucie County is in really bad shape!! #OnPatrolLive #OPLiveNation #OPLive #OPLNation #OPNation,Colin Brinkley,cb_yellowjacket,0,3,"Bear, DE",stabbing_victim
1857574560041750874,Sat Nov 16 00:01:01 +0000 2024,Stabbing victim's mom testifies about last phone call with her son https://t.co/JgLLBwgspD,BarrieToday,BarrieToday,0,0,"Barrie, Ontario",stabbing_victim
1857262291764629760,Fri Nov 15 03:20:11 +0000 2024,Stabbing victim dropped off at strong. #roc,MonroeCountyFireWire,mcfw,2,10,Rochester NY,stabbing_victim
1857195699454226710,Thu Nov 14 22:55:34 +0000 2024,"Hamilton court sees video of 2020 stabbing victim’s last moments before death
https://t.co/fcCQrbulQv",CHCH News,CHCHNews,0,0,"Hamilton, ON",stabbing_victim
1857097166503735511,Thu Nov 14 16:24:02 +0000 2024,"Stabbing Victim incident reported in Westlake, Los Angeles. More details in the https://t.co/nS1pgGxLS5

https://t.co/gyVn9Fhd5E
#lafd #lafdalert",LAIT911 Fire,lait911,0,1,Los Angeles,stabbing_victim
1857033747939377205,Thu Nov 14 12:12:02 +0000 2024,"Stabbing Victim incident reported in Hollywood, Los Angeles. More details in the https://t.co/nS1pgGxLS5

https://t.co/Pdxsf7stuu
#lafd #lafdalert",LAIT911 Fire,lait911,0,2,Los Angeles,stabbing_victim
1857031980069601404,Thu Nov 14 12:05:00 +0000 2024,"https://t.co/rAv3kQ8kFd

Alleged Stabbing Victim, Rockford's East Side 

https://t.co/rAv3kQ8kFd

#rockfordscanner #rockford https://t.co/JwOsmDUDKM",Rockford Scanner,RockfordScanner,0,0,Rockford Illinois,stabbing_victim
1857021668675195207,Thu Nov 14 11:24:02 +0000 2024,"Stabbing Victim incident reported in Downtown, Los Angeles. More details in the https://t.co/nS1pgGxLS5

https://t.co/kkqMoVm0Hf
#lafd #lafdalert",LAIT911 Fire,lait911,0,0,Los Angeles,stabbing_victim
1856868244570677597,Thu Nov 14 01:14:23 +0000 2024,@anjewla90 Stabbing victim in 3…2…1,where there’s a WiLL There’s a WaVe,WhereWave,0,0,"Virginia Beach, Virginia USA",stabbing_victim
