tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
618946624295833602,Thu Jul 09 00:55:49 +0000 2015,State police in Union County said two men went on a vandalism spree near Lewisburg. http://t.co/fhNmRSJ3tg,WNEP,WNEP,0,1,Northeastern & Central PA,vandalism_spree
608047260044279809,Mon Jun 08 23:05:38 +0000 2015,London police looking for help in identifying suspect in vehicle vandalism spree. https://t.co/MkmCfwVZer @lpsmediaoffice #police #LdnOnt,Sean Meyer,Newswriter22,3,0,"London, Ontario, Canada",vandalism_spree
598556858140332033,Wed May 13 18:34:10 +0000 2015,"The @usask is offering compensation to victims of a vandalism spree in a parking lot last weekend
http://t.co/DyxhwmsAZx #spnews #news",TheStarPhoenix.com,TheStarPhoenix,1,0,"Saskatoon, Saskatchewan",vandalism_spree
575399594692993024,Tue Mar 10 20:55:28 +0000 2015,"A 15-yr old has been charged after recent vandalism spree in Highlands area #YQL Vehicles, trailers &amp; fences were spray painted March 7th",Terry Vogt,vogtterr,3,2,"Lethbridge, AB",vandalism_spree
569954022226055168,Mon Feb 23 20:16:42 +0000 2015,"“@6abc: 3 adults, 1 juvenile charged in 3-night Delaware vandalism spree http://t.co/7J0khN0oU5 http://t.co/XzWatNtPHb” everyone watch out!",julian @ Twitchcon,IndieJulian,0,0,"Los Angeles, CA",vandalism_spree
534440174642802689,Mon Nov 17 20:17:21 +0000 2014,20 car tires slashed in late-night Colonial Heights vandalism spree http://t.co/8Nz1aw1o4T via @WayneCovilCBS6 http://t.co/0Uyv850vlg,WTVR CBS 6 Richmond,CBS6,0,0,"Richmond, Virginia",vandalism_spree
532385432412381185,Wed Nov 12 04:12:32 +0000 2014,How Bensalem police linked a Lo. south man w/a vandalism spree involving veterans' graves  http://t.co/FMKhmRIO2S http://t.co/EZzdWe34yD”,Frank Plunkett,frankplunkett,0,0,"New Jersey, USA",vandalism_spree
512612661788295168,Thu Sep 18 14:42:37 +0000 2014,ETS bus shelters smashed in vandalism spree: City crews spent much of Wednesday cleaning up the damage after... http://t.co/UUzUcyFY0S,Edmonton Press,EdmontonCP,0,0,"Edmonton, AB",vandalism_spree
503921923135664129,Mon Aug 25 15:08:43 +0000 2014,"FOUR ARRESTED BY @rockcosheriff FOR TWO DAY VANDALISM SPREE:
https://t.co/5kePSVMVCP",Rockingham County Sheriff's Office (N.C.),rockcosheriff,1,0,North Carolina,vandalism_spree
499631688574853121,Wed Aug 13 19:00:51 +0000 2014,"“@Argus911: Police: Charges pending in BB gun vandalism spree. More than 100 cars damaged"" Prolly same ppl from months ago off Lotta",Laura Schneider,MizzLCS,0,0,,vandalism_spree
494219742954016769,Tue Jul 29 20:35:43 +0000 2014,"Three Men Charged In $25,000 Vandalism Spree In Roselle: (CBS) – Three men, accused of causing extensive damage... http://t.co/owfwJ08Fi7",Chicago Now,Chicago_CP,0,0,Chicago,vandalism_spree
453583524105183232,Tue Apr 08 17:21:53 +0000 2014,Smart Cars being tipped in San Francisco during vandalism spree http://t.co/df4n2XLxfu this stuff wouldnt happen if u drove a real car #Jeep,duude,duudethatsrad,0,0,,vandalism_spree
453343277123502080,Tue Apr 08 01:27:14 +0000 2014,“@AP: Four Smart cars were flipped over in an apparent vandalism spree in San Francisco on Monday: http://t.co/Q1PEItrpo6” lol!!!!!,Joe,pyrojo7,0,0,,vandalism_spree
453338044137881600,Tue Apr 08 01:06:26 +0000 2014,Lmao! RT @AP: Four Smart cars were flipped over in an apparent vandalism spree in San Francisco on Monday: http://t.co/FRViI4x9jN,Jernalism,_Jernalism,0,0,,vandalism_spree
443734418675740673,Wed Mar 12 13:05:04 +0000 2014,#WATCH: @JBernsteinCBS has the latest on a vandalism spree that targeted cop cars in Center City Wednesday: http://t.co/zLuc03TTLu,CBS Philadelphia,CBSPhiladelphia,1,0,"Philadelphia, PA",vandalism_spree
439225219421437952,Fri Feb 28 02:27:07 +0000 2014,Gurnee police: woman in custody being questioned in church vandalism spree earlier this month. Details @fox32news http://t.co/KTDQUex5vk,Blue checkmark,bjverzal,0,0,Earth,vandalism_spree
415837674734227456,Wed Dec 25 13:33:22 +0000 2013,Two arrested in connection with mass vandalism spree | Local News - Home http://t.co/VLxhlEZsmC,Esther H Ehrlich,EhrlichEsther,0,0,"Estelle, Louisiana",vandalism_spree
362413585382645760,Wed Jul 31 03:25:06 +0000 2013,WUSA9 aims to get answers in green paint vandalism spree: The alleged Washington paint splasher sits in jail... http://t.co/cC1KMSgyqL,Washington Press,WashingtonCP,0,0,"Washington, DC",vandalism_spree
345714531806375936,Sat Jun 15 01:29:02 +0000 2013,"Vandalism spree leaves dozens of cars at dealerships damaged: Dozens of trucks, and cars were damaged in an... http://t.co/Iuq5j8Cqun",Edmonton Press,EdmontonCP,0,0,"Edmonton, AB",vandalism_spree
341723258556669952,Tue Jun 04 01:09:08 +0000 2013,Sacto 911: Vandalism spree hits side view mirrors in Woodland - http://t.co/3D3eDCSr0L #Woodland #California,Topix Insight,topix_insight,0,0,California,vandalism_spree
341551634456915969,Mon Jun 03 13:47:10 +0000 2013,Sacto 911: Vandalism spree hits side view mirrors in Woodland http://t.co/5rU0I8x4hr,The Sacramento Bee,sacbee_news,0,0,"Sacramento, CA",vandalism_spree
338171015257546753,Sat May 25 05:53:47 +0000 2013,Four men charged in Elmwood Park vandalism spree;... - http://t.co/cM6oxalBoQ #ElkGroveVillage #Illinois,Illinois News,topix_il,0,0,Illinois,vandalism_spree
332224372469288960,Wed May 08 20:03:57 +0000 2013,Second Arrest in Downtown Vandalism Spree - http://t.co/Qkl3Ftq6Y3 #Fredericksburg #Virginia,Virginia News,topix_va,0,0,Virginia,vandalism_spree
319849175275683840,Thu Apr 04 16:29:20 +0000 2013,3 Belgrade men have been arrested for the vandalism spree earlier this week. All are appearing in court. #bdcnews http://t.co/Y32MnPiqO0,Whitney Bermes,wabermes,0,0,"Bozeman, MT",vandalism_spree
311958385199284224,Wed Mar 13 21:54:09 +0000 2013,"Woodstock man, two juveniles, accused in mailbox vandalism spree - http://t.co/V9u2eouYNP #Woodstock #Virginia",Virginia News,topix_va,0,0,Virginia,vandalism_spree
305150025724473344,Sat Feb 23 03:00:10 +0000 2013,Vandalism spree hits Eugene shopping center - http://t.co/picjPI9jLN #Eugene #Oregon,Oregon News,topix_or,0,0,Oregon,vandalism_spree
301248954698461185,Tue Feb 12 08:38:42 +0000 2013,"Transients arrested with spray paint on hands, clothes, accused of vandalism spree in St. Helens - http://t.co/fFfRcnLx #St.Helens #Oregon",Oregon News,topix_or,0,0,Oregon,vandalism_spree
299620643295600640,Thu Feb 07 20:48:22 +0000 2013,Car windows shot out in Carmichael vandalism spree - http://t.co/ppfAQl7h #Carmichael #California,Topix Insight,topix_insight,0,0,California,vandalism_spree
299020274077147136,Wed Feb 06 05:02:43 +0000 2013,Teen jailed following fiery vandalism spree at day-care center - http://t.co/uxxDhxku #LaJolla #California,Topix Insight,topix_insight,0,0,California,vandalism_spree
293535311638720512,Tue Jan 22 01:47:26 +0000 2013,Anyone up for a late night vandalism spree? :D @LifeAtUWaterloo,Kevin James,TheKevJ,0,0,,vandalism_spree
285440627926237184,Sun Dec 30 17:42:03 +0000 2012,Antique Car Damaged In Elgin Vandalism Spree: ELGIN (STMW) — Someone broke into a commercial building in northwest... http://t.co/nA0cuH2s,Chicago Now,Chicago_CP,0,0,Chicago,vandalism_spree
285245962207760384,Sun Dec 30 04:48:31 +0000 2012,At least my new paint marker is on it's way. Maybe I just need to go on a vandalism spree..,𝔰𝔮𝔲𝔦𝔡𝔴𝔞𝔯𝔡𝔬,think_blue92,0,0,"Atlanta, GA",vandalism_spree
285238262908477441,Sun Dec 30 04:17:56 +0000 2012,Antique car damaged in Elgin vandalism spree - http://t.co/e9kSU7A9 #Elgin #Illinois,Illinois News,topix_il,0,0,Illinois,vandalism_spree
275956709678268416,Tue Dec 04 13:36:21 +0000 2012,One Arrested in Vandalism Spree on West Canton Street - http://t.co/gBYvZWrf #WestCanton #NorthCarolina,North Carolina News,topix_nc,0,0,North Carolina,vandalism_spree
